logic_id,control_point_id,logic_type,expression,delay_s,enabled_default,implementation_status,description_ko
FMU_VLV_IP_FWCV_SELECT_CMD,IP_FWCV,CONTROL_SELECT,FMU.VLV.IP_FWCV.CMD = if FMU.VLV.IP_FWCV.MODE_AUTO then FMU.VLV.IP_FWCV.AUTO_CMD else FMU.VLV.IP_FWCV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_IP_FWCV_APPLY_FAULT,IP_FWCV,FAULT_OVERRIDE,FMU.VLV.IP_FWCV.FB = if FMU.VLV.IP_FWCV.FAULT_ENABLE then FMU.VLV.IP_FWCV.FAULT_VALUE else FMU.VLV.IP_FWCV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_IP_FWCV_CALC_DEVIATION,IP_FWCV,CALCULATION,FMU.VLV.IP_FWCV.DEVIATION = FMU.VLV.IP_FWCV.CMD - FMU.VLV.IP_FWCV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_IP_FWCV_DEVIATION_ALARM,IP_FWCV,ALARM,abs(FMU.VLV.IP_FWCV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_IP_FWCV_OPEN_LS,IP_FWCV,LIMIT_STATE,FMU.VLV.IP_FWCV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_IP_FWCV_CLOSE_LS,IP_FWCV,LIMIT_STATE,FMU.VLV.IP_FWCV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_IP_STEAM_VLV_SELECT_CMD,IP_STEAM_VLV,CONTROL_SELECT,FMU.VLV.IP_STEAM_VLV.CMD = if FMU.VLV.IP_STEAM_VLV.MODE_AUTO then FMU.VLV.IP_STEAM_VLV.AUTO_CMD else FMU.VLV.IP_STEAM_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_IP_STEAM_VLV_APPLY_FAULT,IP_STEAM_VLV,FAULT_OVERRIDE,FMU.VLV.IP_STEAM_VLV.FB = if FMU.VLV.IP_STEAM_VLV.FAULT_ENABLE then FMU.VLV.IP_STEAM_VLV.FAULT_VALUE else FMU.VLV.IP_STEAM_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_IP_STEAM_VLV_CALC_DEVIATION,IP_STEAM_VLV,CALCULATION,FMU.VLV.IP_STEAM_VLV.DEVIATION = FMU.VLV.IP_STEAM_VLV.CMD - FMU.VLV.IP_STEAM_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_IP_STEAM_VLV_DEVIATION_ALARM,IP_STEAM_VLV,ALARM,abs(FMU.VLV.IP_STEAM_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_IP_STEAM_VLV_OPEN_LS,IP_STEAM_VLV,LIMIT_STATE,FMU.VLV.IP_STEAM_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_IP_STEAM_VLV_CLOSE_LS,IP_STEAM_VLV,LIMIT_STATE,FMU.VLV.IP_STEAM_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_LP_STEAM_VLV_SELECT_CMD,LP_STEAM_VLV,CONTROL_SELECT,FMU.VLV.LP_STEAM_VLV.CMD = if FMU.VLV.LP_STEAM_VLV.MODE_AUTO then FMU.VLV.LP_STEAM_VLV.AUTO_CMD else FMU.VLV.LP_STEAM_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_LP_STEAM_VLV_APPLY_FAULT,LP_STEAM_VLV,FAULT_OVERRIDE,FMU.VLV.LP_STEAM_VLV.FB = if FMU.VLV.LP_STEAM_VLV.FAULT_ENABLE then FMU.VLV.LP_STEAM_VLV.FAULT_VALUE else FMU.VLV.LP_STEAM_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_LP_STEAM_VLV_CALC_DEVIATION,LP_STEAM_VLV,CALCULATION,FMU.VLV.LP_STEAM_VLV.DEVIATION = FMU.VLV.LP_STEAM_VLV.CMD - FMU.VLV.LP_STEAM_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_LP_STEAM_VLV_DEVIATION_ALARM,LP_STEAM_VLV,ALARM,abs(FMU.VLV.LP_STEAM_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_LP_STEAM_VLV_OPEN_LS,LP_STEAM_VLV,LIMIT_STATE,FMU.VLV.LP_STEAM_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_LP_STEAM_VLV_CLOSE_LS,LP_STEAM_VLV,LIMIT_STATE,FMU.VLV.LP_STEAM_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_LP_FW_VLV_SELECT_CMD,LP_FW_VLV,CONTROL_SELECT,FMU.VLV.LP_FW_VLV.CMD = if FMU.VLV.LP_FW_VLV.MODE_AUTO then FMU.VLV.LP_FW_VLV.AUTO_CMD else FMU.VLV.LP_FW_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_LP_FW_VLV_APPLY_FAULT,LP_FW_VLV,FAULT_OVERRIDE,FMU.VLV.LP_FW_VLV.FB = if FMU.VLV.LP_FW_VLV.FAULT_ENABLE then FMU.VLV.LP_FW_VLV.FAULT_VALUE else FMU.VLV.LP_FW_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_LP_FW_VLV_CALC_DEVIATION,LP_FW_VLV,CALCULATION,FMU.VLV.LP_FW_VLV.DEVIATION = FMU.VLV.LP_FW_VLV.CMD - FMU.VLV.LP_FW_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_LP_FW_VLV_DEVIATION_ALARM,LP_FW_VLV,ALARM,abs(FMU.VLV.LP_FW_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_LP_FW_VLV_OPEN_LS,LP_FW_VLV,LIMIT_STATE,FMU.VLV.LP_FW_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_LP_FW_VLV_CLOSE_LS,LP_FW_VLV,LIMIT_STATE,FMU.VLV.LP_FW_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_LP_TO_HPIP_FW_VLV_SELECT_CMD,LP_TO_HPIP_FW_VLV,CONTROL_SELECT,FMU.VLV.LP_TO_HPIP_FW_VLV.CMD = if FMU.VLV.LP_TO_HPIP_FW_VLV.MODE_AUTO then FMU.VLV.LP_TO_HPIP_FW_VLV.AUTO_CMD else FMU.VLV.LP_TO_HPIP_FW_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_LP_TO_HPIP_FW_VLV_APPLY_FAULT,LP_TO_HPIP_FW_VLV,FAULT_OVERRIDE,FMU.VLV.LP_TO_HPIP_FW_VLV.FB = if FMU.VLV.LP_TO_HPIP_FW_VLV.FAULT_ENABLE then FMU.VLV.LP_TO_HPIP_FW_VLV.FAULT_VALUE else FMU.VLV.LP_TO_HPIP_FW_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_LP_TO_HPIP_FW_VLV_CALC_DEVIATION,LP_TO_HPIP_FW_VLV,CALCULATION,FMU.VLV.LP_TO_HPIP_FW_VLV.DEVIATION = FMU.VLV.LP_TO_HPIP_FW_VLV.CMD - FMU.VLV.LP_TO_HPIP_FW_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_LP_TO_HPIP_FW_VLV_DEVIATION_ALARM,LP_TO_HPIP_FW_VLV,ALARM,abs(FMU.VLV.LP_TO_HPIP_FW_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_LP_TO_HPIP_FW_VLV_OPEN_LS,LP_TO_HPIP_FW_VLV,LIMIT_STATE,FMU.VLV.LP_TO_HPIP_FW_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_LP_TO_HPIP_FW_VLV_CLOSE_LS,LP_TO_HPIP_FW_VLV,LIMIT_STATE,FMU.VLV.LP_TO_HPIP_FW_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_COND_EXTRACTION_VLV_SELECT_CMD,COND_EXTRACTION_VLV,CONTROL_SELECT,FMU.VLV.COND_EXTRACTION_VLV.CMD = if FMU.VLV.COND_EXTRACTION_VLV.MODE_AUTO then FMU.VLV.COND_EXTRACTION_VLV.AUTO_CMD else FMU.VLV.COND_EXTRACTION_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_COND_EXTRACTION_VLV_APPLY_FAULT,COND_EXTRACTION_VLV,FAULT_OVERRIDE,FMU.VLV.COND_EXTRACTION_VLV.FB = if FMU.VLV.COND_EXTRACTION_VLV.FAULT_ENABLE then FMU.VLV.COND_EXTRACTION_VLV.FAULT_VALUE else FMU.VLV.COND_EXTRACTION_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_COND_EXTRACTION_VLV_CALC_DEVIATION,COND_EXTRACTION_VLV,CALCULATION,FMU.VLV.COND_EXTRACTION_VLV.DEVIATION = FMU.VLV.COND_EXTRACTION_VLV.CMD - FMU.VLV.COND_EXTRACTION_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_COND_EXTRACTION_VLV_DEVIATION_ALARM,COND_EXTRACTION_VLV,ALARM,abs(FMU.VLV.COND_EXTRACTION_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_COND_EXTRACTION_VLV_OPEN_LS,COND_EXTRACTION_VLV,LIMIT_STATE,FMU.VLV.COND_EXTRACTION_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_COND_EXTRACTION_VLV_CLOSE_LS,COND_EXTRACTION_VLV,LIMIT_STATE,FMU.VLV.COND_EXTRACTION_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_HP_TURB_ADM_VLV_SELECT_CMD,HP_TURB_ADM_VLV,CONTROL_SELECT,FMU.VLV.HP_TURB_ADM_VLV.CMD = if FMU.VLV.HP_TURB_ADM_VLV.MODE_AUTO then FMU.VLV.HP_TURB_ADM_VLV.AUTO_CMD else FMU.VLV.HP_TURB_ADM_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_HP_TURB_ADM_VLV_APPLY_FAULT,HP_TURB_ADM_VLV,FAULT_OVERRIDE,FMU.VLV.HP_TURB_ADM_VLV.FB = if FMU.VLV.HP_TURB_ADM_VLV.FAULT_ENABLE then FMU.VLV.HP_TURB_ADM_VLV.FAULT_VALUE else FMU.VLV.HP_TURB_ADM_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_HP_TURB_ADM_VLV_CALC_DEVIATION,HP_TURB_ADM_VLV,CALCULATION,FMU.VLV.HP_TURB_ADM_VLV.DEVIATION = FMU.VLV.HP_TURB_ADM_VLV.CMD - FMU.VLV.HP_TURB_ADM_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_HP_TURB_ADM_VLV_DEVIATION_ALARM,HP_TURB_ADM_VLV,ALARM,abs(FMU.VLV.HP_TURB_ADM_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_HP_TURB_ADM_VLV_OPEN_LS,HP_TURB_ADM_VLV,LIMIT_STATE,FMU.VLV.HP_TURB_ADM_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_HP_TURB_ADM_VLV_CLOSE_LS,HP_TURB_ADM_VLV,LIMIT_STATE,FMU.VLV.HP_TURB_ADM_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_HP_FW_ISO_VLV_SELECT_CMD,HP_FW_ISO_VLV,CONTROL_SELECT,FMU.VLV.HP_FW_ISO_VLV.CMD = if FMU.VLV.HP_FW_ISO_VLV.MODE_AUTO then FMU.VLV.HP_FW_ISO_VLV.AUTO_CMD else FMU.VLV.HP_FW_ISO_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_HP_FW_ISO_VLV_APPLY_FAULT,HP_FW_ISO_VLV,FAULT_OVERRIDE,FMU.VLV.HP_FW_ISO_VLV.FB = if FMU.VLV.HP_FW_ISO_VLV.FAULT_ENABLE then FMU.VLV.HP_FW_ISO_VLV.FAULT_VALUE else FMU.VLV.HP_FW_ISO_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_HP_FW_ISO_VLV_CALC_DEVIATION,HP_FW_ISO_VLV,CALCULATION,FMU.VLV.HP_FW_ISO_VLV.DEVIATION = FMU.VLV.HP_FW_ISO_VLV.CMD - FMU.VLV.HP_FW_ISO_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_HP_FW_ISO_VLV_DEVIATION_ALARM,HP_FW_ISO_VLV,ALARM,abs(FMU.VLV.HP_FW_ISO_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_HP_FW_ISO_VLV_OPEN_LS,HP_FW_ISO_VLV,LIMIT_STATE,FMU.VLV.HP_FW_ISO_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_HP_FW_ISO_VLV_CLOSE_LS,HP_FW_ISO_VLV,LIMIT_STATE,FMU.VLV.HP_FW_ISO_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_IP_FW_ISO_VLV_SELECT_CMD,IP_FW_ISO_VLV,CONTROL_SELECT,FMU.VLV.IP_FW_ISO_VLV.CMD = if FMU.VLV.IP_FW_ISO_VLV.MODE_AUTO then FMU.VLV.IP_FW_ISO_VLV.AUTO_CMD else FMU.VLV.IP_FW_ISO_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_IP_FW_ISO_VLV_APPLY_FAULT,IP_FW_ISO_VLV,FAULT_OVERRIDE,FMU.VLV.IP_FW_ISO_VLV.FB = if FMU.VLV.IP_FW_ISO_VLV.FAULT_ENABLE then FMU.VLV.IP_FW_ISO_VLV.FAULT_VALUE else FMU.VLV.IP_FW_ISO_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_IP_FW_ISO_VLV_CALC_DEVIATION,IP_FW_ISO_VLV,CALCULATION,FMU.VLV.IP_FW_ISO_VLV.DEVIATION = FMU.VLV.IP_FW_ISO_VLV.CMD - FMU.VLV.IP_FW_ISO_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_IP_FW_ISO_VLV_DEVIATION_ALARM,IP_FW_ISO_VLV,ALARM,abs(FMU.VLV.IP_FW_ISO_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_IP_FW_ISO_VLV_OPEN_LS,IP_FW_ISO_VLV,LIMIT_STATE,FMU.VLV.IP_FW_ISO_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_IP_FW_ISO_VLV_CLOSE_LS,IP_FW_ISO_VLV,LIMIT_STATE,FMU.VLV.IP_FW_ISO_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_IP_TURB_ADM_VLV_SELECT_CMD,IP_TURB_ADM_VLV,CONTROL_SELECT,FMU.VLV.IP_TURB_ADM_VLV.CMD = if FMU.VLV.IP_TURB_ADM_VLV.MODE_AUTO then FMU.VLV.IP_TURB_ADM_VLV.AUTO_CMD else FMU.VLV.IP_TURB_ADM_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_IP_TURB_ADM_VLV_APPLY_FAULT,IP_TURB_ADM_VLV,FAULT_OVERRIDE,FMU.VLV.IP_TURB_ADM_VLV.FB = if FMU.VLV.IP_TURB_ADM_VLV.FAULT_ENABLE then FMU.VLV.IP_TURB_ADM_VLV.FAULT_VALUE else FMU.VLV.IP_TURB_ADM_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_IP_TURB_ADM_VLV_CALC_DEVIATION,IP_TURB_ADM_VLV,CALCULATION,FMU.VLV.IP_TURB_ADM_VLV.DEVIATION = FMU.VLV.IP_TURB_ADM_VLV.CMD - FMU.VLV.IP_TURB_ADM_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_IP_TURB_ADM_VLV_DEVIATION_ALARM,IP_TURB_ADM_VLV,ALARM,abs(FMU.VLV.IP_TURB_ADM_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_IP_TURB_ADM_VLV_OPEN_LS,IP_TURB_ADM_VLV,LIMIT_STATE,FMU.VLV.IP_TURB_ADM_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_IP_TURB_ADM_VLV_CLOSE_LS,IP_TURB_ADM_VLV,LIMIT_STATE,FMU.VLV.IP_TURB_ADM_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
