logic_id,control_point_id,logic_type,expression,delay_s,enabled_default,implementation_status,description_ko
NATIVE_OPCUA_VLV_HP_STEAM_VLV_OPEN_LS,HP_STEAM_VLV,LIMIT_STATE,DCS.VLV.HP_STEAM_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_HP_STEAM_VLV_CLOSE_LS,HP_STEAM_VLV,LIMIT_STATE,DCS.VLV.HP_STEAM_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_IP_FWCV_SELECT_CMD,IP_FWCV,CONTROL_SELECT,DCS.VLV.IP_FWCV.CMD = if CMD.VLV.IP_FWCV.MODE_AUTO then DCS.VLV.IP_FWCV.AUTO_CMD else CMD.VLV.IP_FWCV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_IP_FWCV_APPLY_FAULT,IP_FWCV,FAULT_OVERRIDE,DCS.VLV.IP_FWCV.POSITION = if CMD.VLV.IP_FWCV.FAULT_ENABLE then CMD.VLV.IP_FWCV.FAULT_POSITION else DCS.VLV.IP_FWCV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_IP_FWCV_CALC_DEVIATION,IP_FWCV,CALCULATION,DCS.VLV.IP_FWCV.DEVIATION = DCS.VLV.IP_FWCV.CMD - DCS.VLV.IP_FWCV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_IP_FWCV_DEVIATION_ALARM,IP_FWCV,ALARM,abs(DCS.VLV.IP_FWCV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_IP_FWCV_OPEN_LS,IP_FWCV,LIMIT_STATE,DCS.VLV.IP_FWCV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_IP_FWCV_CLOSE_LS,IP_FWCV,LIMIT_STATE,DCS.VLV.IP_FWCV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_IP_STEAM_VLV_SELECT_CMD,IP_STEAM_VLV,CONTROL_SELECT,DCS.VLV.IP_STEAM_VLV.CMD = if CMD.VLV.IP_STEAM_VLV.MODE_AUTO then DCS.VLV.IP_STEAM_VLV.AUTO_CMD else CMD.VLV.IP_STEAM_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_IP_STEAM_VLV_APPLY_FAULT,IP_STEAM_VLV,FAULT_OVERRIDE,DCS.VLV.IP_STEAM_VLV.POSITION = if CMD.VLV.IP_STEAM_VLV.FAULT_ENABLE then CMD.VLV.IP_STEAM_VLV.FAULT_POSITION else DCS.VLV.IP_STEAM_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_IP_STEAM_VLV_CALC_DEVIATION,IP_STEAM_VLV,CALCULATION,DCS.VLV.IP_STEAM_VLV.DEVIATION = DCS.VLV.IP_STEAM_VLV.CMD - DCS.VLV.IP_STEAM_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_IP_STEAM_VLV_DEVIATION_ALARM,IP_STEAM_VLV,ALARM,abs(DCS.VLV.IP_STEAM_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_IP_STEAM_VLV_OPEN_LS,IP_STEAM_VLV,LIMIT_STATE,DCS.VLV.IP_STEAM_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_IP_STEAM_VLV_CLOSE_LS,IP_STEAM_VLV,LIMIT_STATE,DCS.VLV.IP_STEAM_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_LP_STEAM_VLV_SELECT_CMD,LP_STEAM_VLV,CONTROL_SELECT,DCS.VLV.LP_STEAM_VLV.CMD = if CMD.VLV.LP_STEAM_VLV.MODE_AUTO then DCS.VLV.LP_STEAM_VLV.AUTO_CMD else CMD.VLV.LP_STEAM_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_LP_STEAM_VLV_APPLY_FAULT,LP_STEAM_VLV,FAULT_OVERRIDE,DCS.VLV.LP_STEAM_VLV.POSITION = if CMD.VLV.LP_STEAM_VLV.FAULT_ENABLE then CMD.VLV.LP_STEAM_VLV.FAULT_POSITION else DCS.VLV.LP_STEAM_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_LP_STEAM_VLV_CALC_DEVIATION,LP_STEAM_VLV,CALCULATION,DCS.VLV.LP_STEAM_VLV.DEVIATION = DCS.VLV.LP_STEAM_VLV.CMD - DCS.VLV.LP_STEAM_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_LP_STEAM_VLV_DEVIATION_ALARM,LP_STEAM_VLV,ALARM,abs(DCS.VLV.LP_STEAM_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_LP_STEAM_VLV_OPEN_LS,LP_STEAM_VLV,LIMIT_STATE,DCS.VLV.LP_STEAM_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_LP_STEAM_VLV_CLOSE_LS,LP_STEAM_VLV,LIMIT_STATE,DCS.VLV.LP_STEAM_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_LP_FW_VLV_SELECT_CMD,LP_FW_VLV,CONTROL_SELECT,DCS.VLV.LP_FW_VLV.CMD = if CMD.VLV.LP_FW_VLV.MODE_AUTO then DCS.VLV.LP_FW_VLV.AUTO_CMD else CMD.VLV.LP_FW_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_LP_FW_VLV_APPLY_FAULT,LP_FW_VLV,FAULT_OVERRIDE,DCS.VLV.LP_FW_VLV.POSITION = if CMD.VLV.LP_FW_VLV.FAULT_ENABLE then CMD.VLV.LP_FW_VLV.FAULT_POSITION else DCS.VLV.LP_FW_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_LP_FW_VLV_CALC_DEVIATION,LP_FW_VLV,CALCULATION,DCS.VLV.LP_FW_VLV.DEVIATION = DCS.VLV.LP_FW_VLV.CMD - DCS.VLV.LP_FW_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_LP_FW_VLV_DEVIATION_ALARM,LP_FW_VLV,ALARM,abs(DCS.VLV.LP_FW_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_LP_FW_VLV_OPEN_LS,LP_FW_VLV,LIMIT_STATE,DCS.VLV.LP_FW_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_LP_FW_VLV_CLOSE_LS,LP_FW_VLV,LIMIT_STATE,DCS.VLV.LP_FW_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_SELECT_CMD,LP_TO_HPIP_FW_VLV,CONTROL_SELECT,DCS.VLV.LP_TO_HPIP_FW_VLV.CMD = if CMD.VLV.LP_TO_HPIP_FW_VLV.MODE_AUTO then DCS.VLV.LP_TO_HPIP_FW_VLV.AUTO_CMD else CMD.VLV.LP_TO_HPIP_FW_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_APPLY_FAULT,LP_TO_HPIP_FW_VLV,FAULT_OVERRIDE,DCS.VLV.LP_TO_HPIP_FW_VLV.POSITION = if CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_ENABLE then CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_POSITION else DCS.VLV.LP_TO_HPIP_FW_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_CALC_DEVIATION,LP_TO_HPIP_FW_VLV,CALCULATION,DCS.VLV.LP_TO_HPIP_FW_VLV.DEVIATION = DCS.VLV.LP_TO_HPIP_FW_VLV.CMD - DCS.VLV.LP_TO_HPIP_FW_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_DEVIATION_ALARM,LP_TO_HPIP_FW_VLV,ALARM,abs(DCS.VLV.LP_TO_HPIP_FW_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_OPEN_LS,LP_TO_HPIP_FW_VLV,LIMIT_STATE,DCS.VLV.LP_TO_HPIP_FW_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_LP_TO_HPIP_FW_VLV_CLOSE_LS,LP_TO_HPIP_FW_VLV,LIMIT_STATE,DCS.VLV.LP_TO_HPIP_FW_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_SELECT_CMD,COND_EXTRACTION_VLV,CONTROL_SELECT,DCS.VLV.COND_EXTRACTION_VLV.CMD = if CMD.VLV.COND_EXTRACTION_VLV.MODE_AUTO then DCS.VLV.COND_EXTRACTION_VLV.AUTO_CMD else CMD.VLV.COND_EXTRACTION_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_APPLY_FAULT,COND_EXTRACTION_VLV,FAULT_OVERRIDE,DCS.VLV.COND_EXTRACTION_VLV.POSITION = if CMD.VLV.COND_EXTRACTION_VLV.FAULT_ENABLE then CMD.VLV.COND_EXTRACTION_VLV.FAULT_POSITION else DCS.VLV.COND_EXTRACTION_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_CALC_DEVIATION,COND_EXTRACTION_VLV,CALCULATION,DCS.VLV.COND_EXTRACTION_VLV.DEVIATION = DCS.VLV.COND_EXTRACTION_VLV.CMD - DCS.VLV.COND_EXTRACTION_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_DEVIATION_ALARM,COND_EXTRACTION_VLV,ALARM,abs(DCS.VLV.COND_EXTRACTION_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_OPEN_LS,COND_EXTRACTION_VLV,LIMIT_STATE,DCS.VLV.COND_EXTRACTION_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_COND_EXTRACTION_VLV_CLOSE_LS,COND_EXTRACTION_VLV,LIMIT_STATE,DCS.VLV.COND_EXTRACTION_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_SELECT_CMD,HP_TURB_ADM_VLV,CONTROL_SELECT,DCS.VLV.HP_TURB_ADM_VLV.CMD = if CMD.VLV.HP_TURB_ADM_VLV.MODE_AUTO then DCS.VLV.HP_TURB_ADM_VLV.AUTO_CMD else CMD.VLV.HP_TURB_ADM_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_APPLY_FAULT,HP_TURB_ADM_VLV,FAULT_OVERRIDE,DCS.VLV.HP_TURB_ADM_VLV.POSITION = if CMD.VLV.HP_TURB_ADM_VLV.FAULT_ENABLE then CMD.VLV.HP_TURB_ADM_VLV.FAULT_POSITION else DCS.VLV.HP_TURB_ADM_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_CALC_DEVIATION,HP_TURB_ADM_VLV,CALCULATION,DCS.VLV.HP_TURB_ADM_VLV.DEVIATION = DCS.VLV.HP_TURB_ADM_VLV.CMD - DCS.VLV.HP_TURB_ADM_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_DEVIATION_ALARM,HP_TURB_ADM_VLV,ALARM,abs(DCS.VLV.HP_TURB_ADM_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_OPEN_LS,HP_TURB_ADM_VLV,LIMIT_STATE,DCS.VLV.HP_TURB_ADM_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_HP_TURB_ADM_VLV_CLOSE_LS,HP_TURB_ADM_VLV,LIMIT_STATE,DCS.VLV.HP_TURB_ADM_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_SELECT_CMD,HP_FW_ISO_VLV,CONTROL_SELECT,DCS.VLV.HP_FW_ISO_VLV.CMD = if CMD.VLV.HP_FW_ISO_VLV.MODE_AUTO then DCS.VLV.HP_FW_ISO_VLV.AUTO_CMD else CMD.VLV.HP_FW_ISO_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_APPLY_FAULT,HP_FW_ISO_VLV,FAULT_OVERRIDE,DCS.VLV.HP_FW_ISO_VLV.POSITION = if CMD.VLV.HP_FW_ISO_VLV.FAULT_ENABLE then CMD.VLV.HP_FW_ISO_VLV.FAULT_POSITION else DCS.VLV.HP_FW_ISO_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_CALC_DEVIATION,HP_FW_ISO_VLV,CALCULATION,DCS.VLV.HP_FW_ISO_VLV.DEVIATION = DCS.VLV.HP_FW_ISO_VLV.CMD - DCS.VLV.HP_FW_ISO_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_DEVIATION_ALARM,HP_FW_ISO_VLV,ALARM,abs(DCS.VLV.HP_FW_ISO_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_OPEN_LS,HP_FW_ISO_VLV,LIMIT_STATE,DCS.VLV.HP_FW_ISO_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_HP_FW_ISO_VLV_CLOSE_LS,HP_FW_ISO_VLV,LIMIT_STATE,DCS.VLV.HP_FW_ISO_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_SELECT_CMD,IP_FW_ISO_VLV,CONTROL_SELECT,DCS.VLV.IP_FW_ISO_VLV.CMD = if CMD.VLV.IP_FW_ISO_VLV.MODE_AUTO then DCS.VLV.IP_FW_ISO_VLV.AUTO_CMD else CMD.VLV.IP_FW_ISO_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_APPLY_FAULT,IP_FW_ISO_VLV,FAULT_OVERRIDE,DCS.VLV.IP_FW_ISO_VLV.POSITION = if CMD.VLV.IP_FW_ISO_VLV.FAULT_ENABLE then CMD.VLV.IP_FW_ISO_VLV.FAULT_POSITION else DCS.VLV.IP_FW_ISO_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_CALC_DEVIATION,IP_FW_ISO_VLV,CALCULATION,DCS.VLV.IP_FW_ISO_VLV.DEVIATION = DCS.VLV.IP_FW_ISO_VLV.CMD - DCS.VLV.IP_FW_ISO_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_DEVIATION_ALARM,IP_FW_ISO_VLV,ALARM,abs(DCS.VLV.IP_FW_ISO_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_OPEN_LS,IP_FW_ISO_VLV,LIMIT_STATE,DCS.VLV.IP_FW_ISO_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_IP_FW_ISO_VLV_CLOSE_LS,IP_FW_ISO_VLV,LIMIT_STATE,DCS.VLV.IP_FW_ISO_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_SELECT_CMD,IP_TURB_ADM_VLV,CONTROL_SELECT,DCS.VLV.IP_TURB_ADM_VLV.CMD = if CMD.VLV.IP_TURB_ADM_VLV.MODE_AUTO then DCS.VLV.IP_TURB_ADM_VLV.AUTO_CMD else CMD.VLV.IP_TURB_ADM_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_APPLY_FAULT,IP_TURB_ADM_VLV,FAULT_OVERRIDE,DCS.VLV.IP_TURB_ADM_VLV.POSITION = if CMD.VLV.IP_TURB_ADM_VLV.FAULT_ENABLE then CMD.VLV.IP_TURB_ADM_VLV.FAULT_POSITION else DCS.VLV.IP_TURB_ADM_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_CALC_DEVIATION,IP_TURB_ADM_VLV,CALCULATION,DCS.VLV.IP_TURB_ADM_VLV.DEVIATION = DCS.VLV.IP_TURB_ADM_VLV.CMD - DCS.VLV.IP_TURB_ADM_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_DEVIATION_ALARM,IP_TURB_ADM_VLV,ALARM,abs(DCS.VLV.IP_TURB_ADM_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_OPEN_LS,IP_TURB_ADM_VLV,LIMIT_STATE,DCS.VLV.IP_TURB_ADM_VLV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_IP_TURB_ADM_VLV_CLOSE_LS,IP_TURB_ADM_VLV,LIMIT_STATE,DCS.VLV.IP_TURB_ADM_VLV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
