catalog_index,equipment_id,label_ko,system,equipment_type,command,source_execution_layer,source_status,model_input,feedback_tag,strict_class,transaction_status,native_dispatch_status,independent_feedback_status,evidence
11,CB-52GT,52GT,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52GT_CMD,ECMS.52GT.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52GT.CLOSED
12,CB-52GT,52GT,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52GT_TRIP,ECMS.52GT.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52GT.CLOSED
13,CB-52GT,52GT,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52GT_RESET,ECMS.52GT.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52GT.CLOSED
14,CB-52ST,52ST,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52ST_CMD,ECMS.52ST.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52ST.CLOSED
15,CB-52ST,52ST,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52ST_CMD,ECMS.52ST.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52ST.CLOSED
16,CB-52ST,52ST,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52ST_TRIP,ECMS.52ST.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52ST.CLOSED
17,CB-52ST,52ST,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52ST_RESET,ECMS.52ST.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52ST.CLOSED
18,GRID-154KV,154 kV 외부계통,ECMS,GRID,LOSS,ELECTRICAL_ENGINE,CONNECTED_VPP,GRID_AVAILABLE,GRID-154KV.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:GRID-154KV.AVAILABLE
19,GRID-154KV,154 kV 외부계통,ECMS,GRID,RESTORE,ELECTRICAL_ENGINE,CONNECTED_VPP,GRID_AVAILABLE,GRID-154KV.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:GRID-154KV.AVAILABLE
20,TR-GT,GT 주 변압기,ECMS,TRANSFORMER,OUT_OF_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,TR_GT_AVAILABLE,TR-GT.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:TR-GT.AVAILABLE
21,TR-GT,GT 주 변압기,ECMS,TRANSFORMER,IN_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,TR_GT_AVAILABLE,TR-GT.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:TR-GT.AVAILABLE
22,TR-ST,ST 주 변압기,ECMS,TRANSFORMER,OUT_OF_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,TR_ST_AVAILABLE,TR-ST.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:TR-ST.AVAILABLE
23,TR-ST,ST 주 변압기,ECMS,TRANSFORMER,IN_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,TR_ST_AVAILABLE,TR-ST.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:TR-ST.AVAILABLE
24,UAT-A,UAT-A,ECMS,TRANSFORMER,OUT_OF_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,UAT_A_AVAILABLE,UAT-A.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:UAT-A.AVAILABLE
25,UAT-A,UAT-A,ECMS,TRANSFORMER,IN_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,UAT_A_AVAILABLE,UAT-A.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:UAT-A.AVAILABLE
26,UAT-B,UAT-B,ECMS,TRANSFORMER,OUT_OF_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,UAT_B_AVAILABLE,UAT-B.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:UAT-B.AVAILABLE
27,UAT-B,UAT-B,ECMS,TRANSFORMER,IN_SERVICE,ELECTRICAL_ENGINE,CONNECTED_VPP,UAT_B_AVAILABLE,UAT-B.AVAILABLE,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:UAT-B.AVAILABLE
28,CB-IN-A,A 인커밍,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_A_CMD,ECMS.CB-IN-A.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-A.CLOSED
29,CB-IN-A,A 인커밍,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_A_CMD,ECMS.CB-IN-A.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-A.CLOSED
30,CB-IN-A,A 인커밍,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_A_TRIP,ECMS.CB-IN-A.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-A.CLOSED
31,CB-IN-A,A 인커밍,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_A_RESET,ECMS.CB-IN-A.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-A.CLOSED
32,CB-IN-B,B 인커밍,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_B_CMD,ECMS.CB-IN-B.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-B.CLOSED
33,CB-IN-B,B 인커밍,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_B_CMD,ECMS.CB-IN-B.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-B.CLOSED
34,CB-IN-B,B 인커밍,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_B_TRIP,ECMS.CB-IN-B.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-B.CLOSED
35,CB-IN-B,B 인커밍,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_IN_B_RESET,ECMS.CB-IN-B.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-IN-B.CLOSED
36,CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_TIE_AB_CMD,ECMS.CB-TIE-AB.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-TIE-AB.CLOSED
37,CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_TIE_AB_CMD,ECMS.CB-TIE-AB.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-TIE-AB.CLOSED
38,CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_TIE_AB_TRIP,ECMS.CB-TIE-AB.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-TIE-AB.CLOSED
39,CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_TIE_AB_RESET,ECMS.CB-TIE-AB.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.CB-TIE-AB.CLOSED
40,FWP-HP,HP 급수펌프,HRSG,MOTOR,START,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_HP_RUN,TSP.DRUM.HP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_HP_RUN
41,FWP-HP,HP 급수펌프,HRSG,MOTOR,STOP,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_HP_RUN,TSP.DRUM.HP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_HP_RUN
42,FWP-HP,HP 급수펌프,HRSG,MOTOR,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_HP_TRIP,ECMS.VCB-A01.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.VCB-A01.CLOSED
43,FWP-HP,HP 급수펌프,HRSG,MOTOR,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_HP_RESET,ECMS.VCB-A01.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.VCB-A01.CLOSED
44,FWP-IP,IP 급수펌프,HRSG,MOTOR,START,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_IP_RUN,TSP.DRUM.IP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_IP_RUN
45,FWP-IP,IP 급수펌프,HRSG,MOTOR,STOP,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_IP_RUN,TSP.DRUM.IP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_IP_RUN
46,FWP-IP,IP 급수펌프,HRSG,MOTOR,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_IP_TRIP,ECMS.VCB-B01.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.VCB-B01.CLOSED
47,FWP-IP,IP 급수펌프,HRSG,MOTOR,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_IP_RESET,ECMS.VCB-B01.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.VCB-B01.CLOSED
48,FWP-LP,LP 급수펌프,HRSG,MOTOR,START,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_LP_RUN,TSP.DRUM.LP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_LP_RUN
49,FWP-LP,LP 급수펌프,HRSG,MOTOR,STOP,THERMO_ADAPTER_REQUIRED,PROVISIONAL,FWP_LP_RUN,TSP.DRUM.LP.FW_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:FWP_LP_RUN
50,FWP-LP,LP 급수펌프,HRSG,MOTOR,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_LP_TRIP,ECMS.VCB-A02.CLOSED,PHYSICAL_CONNECTED,PHYSICAL_PATH_PROVEN_ACK_RESULT_PENDING,SCENARIO_NATIVE_PATH_PROVEN,BREAKER_PHYSICS_PROVEN_ECMS_STATE_WRITE_ECHO,scripts/patch_lp_fwp_opcua.py;scripts/native_ecms_opcua_client.py;data/opcua_lp_bfp_nodes_v1.csv
51,FWP-LP,LP 급수펌프,HRSG,MOTOR,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,FWP_LP_RESET,ECMS.VCB-A02.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.VCB-A02.CLOSED
52,VCB-A01,HP 급수펌프 VCB,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A01_CMD,ECMS.VCB-A01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A01_CMD
53,VCB-A01,HP 급수펌프 VCB,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A01_CMD,ECMS.VCB-A01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A01_CMD
54,VCB-A01,HP 급수펌프 VCB,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A01_TRIP,ECMS.VCB-A01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A01_TRIP
55,VCB-A01,HP 급수펌프 VCB,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A01_RESET,ECMS.VCB-A01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A01_RESET
56,VCB-B01,IP 급수펌프 VCB,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_B01_CMD,ECMS.VCB-B01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_B01_CMD
57,VCB-B01,IP 급수펌프 VCB,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_B01_CMD,ECMS.VCB-B01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_B01_CMD
58,VCB-B01,IP 급수펌프 VCB,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_B01_TRIP,ECMS.VCB-B01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_B01_TRIP
59,VCB-B01,IP 급수펌프 VCB,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_B01_RESET,ECMS.VCB-B01.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_B01_RESET
60,VCB-A02,LP 급수펌프 VCB,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A02_CMD,ECMS.VCB-A02.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A02_CMD
61,VCB-A02,LP 급수펌프 VCB,ECMS,BREAKER,CLOSE,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A02_CMD,ECMS.VCB-A02.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A02_CMD
62,VCB-A02,LP 급수펌프 VCB,ECMS,BREAKER,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A02_TRIP,ECMS.VCB-A02.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A02_TRIP
63,VCB-A02,LP 급수펌프 VCB,ECMS,BREAKER,RESET,ELECTRICAL_ENGINE,CONNECTED_VPP,VCB_A02_RESET,ECMS.VCB-A02.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:VCB_A02_RESET
64,HP-FWV,HP 급수조절밸브,HRSG,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HP_FWV_OPENING
65,HP-FWV,HP 급수조절밸브,HRSG,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HP_FWV_OPENING
66,HP-FWV,HP 급수조절밸브,HRSG,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HP_FWV_OPENING
67,HP-FWV,HP 급수조절밸브,HRSG,VALVE,AUTO,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HP_FWV_MODE,TSP.DRUM.HP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HP_FWV_MODE
68,HP-FWV,HP 급수조절밸브,HRSG,VALVE,MANUAL,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HP_FWV_MODE,TSP.DRUM.HP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HP_FWV_MODE
69,IP-FWV,IP 급수조절밸브,HRSG,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IP_FWV_OPENING
70,IP-FWV,IP 급수조절밸브,HRSG,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IP_FWV_OPENING
71,IP-FWV,IP 급수조절밸브,HRSG,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IP_FWV_OPENING
72,IP-FWV,IP 급수조절밸브,HRSG,VALVE,AUTO,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IP_FWV_MODE,TSP.DRUM.IP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IP_FWV_MODE
