no,screen,svg_file,area,component,root_dom_id,binding_tags,visual_states,interaction,refresh,source_current_status,acceptance,notes,audit_status,audit_evidence
15,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,INTERTRIP,ST intertrip branch,trip-st-branch,ST latch; 52ST Trip CMD; 52ST CLOSED,idle/asserted/open/failed,hover→timestamp,10 ms,MISSING,independent nodes collected,GT/52GT 주체계와 분기 표시,BOUND_UNVERIFIED_RUNTIME,id=trip-st-branch has a binding attribute; live DataValue is not proven
16,HRSG,NEW: topology/hrsg_three_pressure.svg,HP_DRUM,HP drum vessel,drum-hp-vessel,LEVEL_M; PRESSURE_PA,level fill + HH/H/L/LL + bad,click→trend,100 ms,MISSING,fill is clipped by real level,ThermoSysPro 3.1 icon 비율을 참조,BOUND_UNVERIFIED_RUNTIME,id=drum-hp-vessel has a binding attribute; live DataValue is not proven
17,HRSG,NEW: topology/hrsg_three_pressure.svg,HP_FWP,HP feedwater pump,fwp-hp,SPEED_CMD/FB; MASS_FLOW; RUN_FB; TRIP_LATCH,stopped/running/tripped/bad,click→pump faceplate,100 ms,MISSING,STOP does not open VCB,associated VCB shown nearby,BOUND_UNVERIFIED_RUNTIME,id=fwp-hp has a binding attribute; live DataValue is not proven
18,HRSG,NEW: topology/hrsg_three_pressure.svg,IP_DRUM,IP drum vessel,drum-ip-vessel,LEVEL_M; PRESSURE_PA,level fill + HH/H/L/LL + bad,click→trend,100 ms,MISSING,fill is clipped by real level,ThermoSysPro 3.1 icon 비율을 참조,BOUND_UNVERIFIED_RUNTIME,id=drum-ip-vessel has a binding attribute; live DataValue is not proven
19,HRSG,NEW: topology/hrsg_three_pressure.svg,IP_FWP,IP feedwater pump,fwp-ip,SPEED_CMD/FB; MASS_FLOW; RUN_FB; TRIP_LATCH,stopped/running/tripped/bad,click→pump faceplate,100 ms,MISSING,STOP does not open VCB,associated VCB shown nearby,BOUND_UNVERIFIED_RUNTIME,id=fwp-ip has a binding attribute; live DataValue is not proven
20,HRSG,NEW: topology/hrsg_three_pressure.svg,LP_DRUM,LP drum vessel,drum-lp-vessel,LEVEL_M; PRESSURE_PA,level fill + HH/H/L/LL + bad,click→trend,100 ms,MISSING,fill is clipped by real level,ThermoSysPro 3.1 icon 비율을 참조,BOUND_UNVERIFIED_RUNTIME,id=drum-lp-vessel has a binding attribute; live DataValue is not proven
21,HRSG,NEW: topology/hrsg_three_pressure.svg,LP_FWP,LP feedwater pump,fwp-lp,SPEED_CMD/FB; MASS_FLOW; RUN_FB; TRIP_LATCH,stopped/running/tripped/bad,click→pump faceplate,100 ms,MISSING,STOP does not open VCB,associated VCB shown nearby,BOUND_UNVERIFIED_RUNTIME,id=fwp-lp has a binding attribute; live DataValue is not proven
22,TURBINE_BYPASS,topology/turbine_bypass_vpp.svg,TURBINE,HP/IP/LP turbine train,st-train,three steam flows; admissions; ST power,normal/rundown/tripped/bad,click→trend,100 ms,STATIC_ONLY,all values are OPC UA received,기존 화살표는 유지하되 flow animation data-bound,BOUND_UNVERIFIED_RUNTIME,id=st-train has a binding attribute; live DataValue is not proven
23,TURBINE_BYPASS,topology/turbine_bypass_vpp.svg,BYPASS,HP bypass valve,bypass-hp,POSITION; FLOW; LS; inlet/outlet P/T,closed/travel/open/fault/bad,click→faceplate,100 ms,STATIC_ONLY,position/flow/limit mutually consistent,LP bypass는 IP+LP 우회 경로,BOUND_UNVERIFIED_RUNTIME,id=bypass-hp has a binding attribute; live DataValue is not proven
24,TURBINE_BYPASS,topology/turbine_bypass_vpp.svg,SPRAY,HP spray,bypass-hp-spray,SPRAY_POSITION; SPRAY_FLOW,off/on/bad,click→trend,100 ms,MISSING,solver-produced flow,별도 IP bypass를 만들지 않음,BOUND_UNVERIFIED_RUNTIME,id=bypass-hp-spray has a binding attribute; live DataValue is not proven
25,TURBINE_BYPASS,topology/turbine_bypass_vpp.svg,BYPASS,LP bypass valve,bypass-lp,POSITION; FLOW; LS; inlet/outlet P/T,closed/travel/open/fault/bad,click→faceplate,100 ms,STATIC_ONLY,position/flow/limit mutually consistent,LP bypass는 IP+LP 우회 경로,BOUND_UNVERIFIED_RUNTIME,id=bypass-lp has a binding attribute; live DataValue is not proven
26,TURBINE_BYPASS,topology/turbine_bypass_vpp.svg,SPRAY,LP spray,bypass-lp-spray,SPRAY_POSITION; SPRAY_FLOW,off/on/bad,click→trend,100 ms,MISSING,solver-produced flow,별도 IP bypass를 만들지 않음,BOUND_UNVERIFIED_RUNTIME,id=bypass-lp-spray has a binding attribute; live DataValue is not proven
27,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,HP 드럼 급수조절밸브,valve-hp-fwcv,TSP.VLV.HP_FWCV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_alimentationHP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-hp-fwcv has a binding attribute; live DataValue is not proven
28,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,HP 드럼 증기밸브,valve-hp-steam-vlv,TSP.VLV.HP_STEAM_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_vapeurHP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-hp-steam-vlv has a binding attribute; live DataValue is not proven
29,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,IP 드럼 급수조절밸브,valve-ip-fwcv,TSP.VLV.IP_FWCV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_alimentationMP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-ip-fwcv has a binding attribute; live DataValue is not proven
30,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,IP 드럼 증기밸브,valve-ip-steam-vlv,TSP.VLV.IP_STEAM_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_vapeurMP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-ip-steam-vlv has a binding attribute; live DataValue is not proven
31,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,LP 드럼 증기조절밸브,valve-lp-steam-vlv,TSP.VLV.LP_STEAM_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_vapeurBP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-lp-steam-vlv has a binding attribute; live DataValue is not proven
32,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,LP 드럼 급수밸브,valve-lp-fw-vlv,TSP.VLV.LP_FW_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_alimentationBP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-lp-fw-vlv has a binding attribute; live DataValue is not proven
33,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,LP 계통에서 HP/IP 계통으로 가는 급수밸브,valve-lp-to-hpip-fw-vlv,TSP.VLV.LP_TO_HPIP_FW_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,Vanne_alimentationMPHP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-lp-to-hpip-fw-vlv has a binding attribute; live DataValue is not proven
34,VALVE_MATRIX,NEW: topology/native_valves_12.svg,BOP,복수기 수위조절 추출밸브,valve-cond-extraction-vlv,TSP.VLV.COND_EXTRACTION_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_extraction; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-cond-extraction-vlv has a binding attribute; live DataValue is not proven
35,VALVE_MATRIX,NEW: topology/native_valves_12.svg,ST,HP 터빈 입구 조절밸브,valve-hp-turb-adm-vlv,TSP.VLV.HP_TURB_ADM_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_entree_TurbineHP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-hp-turb-adm-vlv has a binding attribute; live DataValue is not proven
36,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,HP 급수펌프 토출측 밸브,valve-hp-fw-iso-vlv,TSP.VLV.HP_FW_ISO_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,Vanne_alimentationMPHP1; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-hp-fw-iso-vlv has a binding attribute; live DataValue is not proven
37,VALVE_MATRIX,NEW: topology/native_valves_12.svg,HRSG,IP 급수펌프 토출측 밸브,valve-ip-fw-iso-vlv,TSP.VLV.IP_FW_ISO_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,Vanne_alimentationMPHP2; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-ip-fw-iso-vlv has a binding attribute; live DataValue is not proven
38,VALVE_MATRIX,NEW: topology/native_valves_12.svg,ST,IP 터빈 입구 조절밸브,valve-ip-turb-adm-vlv,TSP.VLV.IP_TURB_ADM_VLV.*,AUTO/MAN; CMD/FB; fault; Cv/flow/dP; bad,mode/manual/fault controls by role,100 ms,MISSING,4 writes + 8 reads all resolve Good,vanne_entree_TurbineMP; SVG root 아래 signal DOM IDs는 12개 밸브 시트 참조,BOUND_UNVERIFIED_RUNTIME,id=valve-ip-turb-adm-vlv has a binding attribute; live DataValue is not proven
39,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,CB-52GT,cb-cb-52gt,CB-52GT command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-cb-52gt has a binding attribute; live DataValue is not proven
40,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,CB-52ST,cb-cb-52st,CB-52ST command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-cb-52st has a binding attribute; live DataValue is not proven
41,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,CB-IN-A,cb-cb-in-a,CB-IN-A command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-cb-in-a has a binding attribute; live DataValue is not proven
42,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,CB-IN-B,cb-cb-in-b,CB-IN-B command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-cb-in-b has a binding attribute; live DataValue is not proven
43,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,CB-TIE-AB,cb-cb-tie-ab,CB-TIE-AB command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-cb-tie-ab has a binding attribute; live DataValue is not proven
44,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,VCB-A01,cb-vcb-a01,VCB-A01 command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-vcb-a01 has a binding attribute; live DataValue is not proven
45,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,VCB-B01,cb-vcb-b01,VCB-B01 command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-vcb-b01 has a binding attribute; live DataValue is not proven
46,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BREAKER,VCB-A02,cb-vcb-a02,VCB-A02 command; CLOSED; TRIP_LATCH,closed/open/tripped/fail-to-open/bad,OPEN/CLOSE/TRIP/RESET,10 ms,STATIC_ONLY,button ack then feedback transition,close permissive/reject reason 표시,BOUND_UNVERIFIED_RUNTIME,id=cb-vcb-a02 has a binding attribute; live DataValue is not proven
47,ELECTRICAL,topology/triplens_ecms_vpp.svg,SOURCE_PATH,GRID-154KV,equip-grid-154kv,ECMS.GRID.154KV.AVAILABLE,available/unavailable/bad,IN/OUT service,100 ms,STATIC_ONLY,bus energization follows topology,availability는 전압값과 분리,BOUND_UNVERIFIED_RUNTIME,id=equip-grid-154kv has a binding attribute; live DataValue is not proven
48,ELECTRICAL,topology/triplens_ecms_vpp.svg,SOURCE_PATH,TR-GT,equip-tr-gt,ECMS.TR.GT.AVAILABLE,available/unavailable/bad,IN/OUT service,100 ms,STATIC_ONLY,bus energization follows topology,availability는 전압값과 분리,BOUND_UNVERIFIED_RUNTIME,id=equip-tr-gt has a binding attribute; live DataValue is not proven
49,ELECTRICAL,topology/triplens_ecms_vpp.svg,SOURCE_PATH,TR-ST,equip-tr-st,ECMS.TR.ST.AVAILABLE,available/unavailable/bad,IN/OUT service,100 ms,STATIC_ONLY,bus energization follows topology,availability는 전압값과 분리,BOUND_UNVERIFIED_RUNTIME,id=equip-tr-st has a binding attribute; live DataValue is not proven
50,ELECTRICAL,topology/triplens_ecms_vpp.svg,SOURCE_PATH,UAT-A,equip-uat-a,ECMS.UAT.A.AVAILABLE,available/unavailable/bad,IN/OUT service,100 ms,STATIC_ONLY,bus energization follows topology,availability는 전압값과 분리,BOUND_UNVERIFIED_RUNTIME,id=equip-uat-a has a binding attribute; live DataValue is not proven
51,ELECTRICAL,topology/triplens_ecms_vpp.svg,SOURCE_PATH,UAT-B,equip-uat-b,ECMS.UAT.B.AVAILABLE,available/unavailable/bad,IN/OUT service,100 ms,STATIC_ONLY,bus energization follows topology,availability는 전압값과 분리,BOUND_UNVERIFIED_RUNTIME,id=equip-uat-b has a binding attribute; live DataValue is not proven
52,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BUS,BUS-A,bus-a,ECMS.BUS-A.VOLTAGE_KV,energized/dead/bad,click→feeders,100 ms,STATIC_ONLY,voltage and source path consistent,기존 data-view는 유지,BOUND_UNVERIFIED_RUNTIME,id=bus-a has a binding attribute; live DataValue is not proven
53,ELECTRICAL,topology/triplens_ecms_6p9kv.svg,BUS,BUS-B,bus-b,ECMS.BUS-B.VOLTAGE_KV,energized/dead/bad,click→feeders,100 ms,STATIC_ONLY,voltage and source path consistent,기존 data-view는 유지,BOUND_UNVERIFIED_RUNTIME,id=bus-b has a binding attribute; live DataValue is not proven
54,ALARMS,NEW: topology/alarm_banner.svg,BANNER,Highest priority alarm,alarm-banner,all active alarm/event tags,CRITICAL/WARNING/INFO/BAD,ACK/SHELVE by permission,event-driven,MISSING,timestamp order and source shown,알람 자체는 READ ONLY,BOUND_UNVERIFIED_RUNTIME,id=alarm-banner has a binding attribute; live DataValue is not proven
55,ALARMS,NEW: topology/alarm_banner.svg,LIST,Sequence of events,soe-list,command/request/latch/trip/open/physics timestamps,new/acked/returned,filter/export,event-driven,MISSING,stable sequence id; no duplicates,SourceTimestamp 우선,BOUND_UNVERIFIED_RUNTIME,id=soe-list has a binding attribute; live DataValue is not proven
