logic_id,platform,console_scope,console_csv,format_profile,system,subsystem,equipment,source_class,source_tag_ids,source_model_variables,derived_signal,alarm_type,alarm_text_ko,condition_expression,threshold_basis,threshold_value,threshold_unit,threshold_direction,delay_s,hysteresis,priority_rank,display_priority,display_color_ko,display_hex,latching,ack_required,shelvable,trip_action,enabled_default,editable,assumption_class,data_origin,validation_status,implementation_readiness,source_url,note_ko,source_platform,source_system,legacy_condition_expression,legacy_threshold_basis,legacy_threshold_value,legacy_threshold_unit,calibration_signal,calibration_nominal_value,calibration_source_file,calibration_window_s,absolute_conversion_status,logic_enable_reason
AL-0841,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,ST Shaft,A-L_SCENARIO,DCS1.ST.SHAFT.AXIAL_TRIP,,axial_position,TRIP,ST Shaft 축위치 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Steam Turbine,axial_position > PRE_EVENT_BASELINE * 1.5 for 1 s,PRE_EVENT_BASELINE_RATIO,1.5,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0844,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,ST Shaft,A-L_SCENARIO,DCS1.ST.SHAFT.OVERSPEED_TRIP,,speed,TRIP,ST Shaft 과속도 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Steam Turbine,speed > PRE_EVENT_BASELINE * 1.1 for 1 s,PRE_EVENT_BASELINE_RATIO,1.1,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0843,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,ST Trip Oil,A-L_SCENARIO,DCS1.ST.TRIP_OIL.PRESS_TRIP,,pressure,TRIP,ST Trip Oil 압력저하 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,LOW,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Steam Turbine,pressure < PRE_EVENT_BASELINE * 0.7 for 1 s,PRE_EVENT_BASELINE_RATIO,0.7,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0004,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,Steam Turbine,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,ST Master Trip,ST_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS1,Steam Turbine,ST_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0024,DCS2,BOP,dcs2.csv,ABB_HRSG_BOP,BOP,Steam Cycle / Condenser,Condenser,M-V_DIRECT,TSP.MV.CONDENSER.P,Condenser.P,P,TRIP,복수기 진공 상실 Trip,Condenser.P > 115 Pa for 2 s,ABSOLUTE_MODEL_VALUE,115,Pa,HIGH,2,0 Pa,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,TRUE,TRUE,A-L,VIRTUAL_MODEL_PRETRIP_CALIBRATION,MODEL_SIGNAL_VERIFIED_ABSOLUTE_THRESHOLD_CALIBRATED,READY_ABSOLUTE_MODEL_VALUE,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.HeatExchangers.SimpleDynamicCondenser.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,Steam Cycle,P > PRE_EVENT_BASELINE * 1.15 for 2 s,PRE_EVENT_BASELINE_RATIO,1.15,ratio_to_baseline,Condenser.P,100,GT_TRIP_RAW_DATA_0.1s_0-40s.csv,0-10,CALIBRATED_MODEL_DIRECT,Direct model quantity and physical unit available
AL-0025,DCS2,BOP,dcs2.csv,ABB_HRSG_BOP,BOP,Steam Cycle / Condenser,Condenser Hotwell,M-V_DIRECT,TSP.MV.CONDENSER.VL,Condenser.Vl,normalized_level(Vl),TRIP,복수기 Hotwell 레벨 저저 Trip,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,LOW,3,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_CONDENSATE_PROTECTION,FALSE,TRUE,A-L,THERMOSYSPRO_MODEL+ASSUMED_LOGIC,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.HeatExchangers.SimpleDynamicCondenser.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,Steam Cycle,normalized_level(Vl) < 0.15 for 3 s,NORMALIZED_SPAN,0.15,fraction_of_span,,,,,DEFERRED_LEVEL_OR_MODEL_OUTPUT,Physical level geometry/output is unavailable
AL-0006,DCS2,BOP,dcs2.csv,ABB_HRSG_BOP,BOP,Feedwater / Pump Protection,HP BFP,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,HP 보일러급수펌프 Trip,HP_BFP_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,TRIP_HP_BFP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS2,Feedwater,HP_BFP_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0007,DCS2,BOP,dcs2.csv,ABB_HRSG_BOP,BOP,Feedwater / Pump Protection,IP BFP,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,IP 보일러급수펌프 Trip,IP_BFP_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,TRIP_IP_BFP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS2,Feedwater,IP_BFP_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0008,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HP HRSG,HP Drum,M-V_DIRECT,TSP.MV.HP_DRUM.P,HP_Drum.P,P,TRIP,HP Drum 과압 Trip,HP_Drum.P > 13800000 Pa for 1 s,ABSOLUTE_MODEL_VALUE,13800000,Pa,HIGH,1,0 Pa,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HP_HRSG_TRIP,TRUE,TRUE,A-L,VIRTUAL_MODEL_PRETRIP_CALIBRATION,MODEL_SIGNAL_VERIFIED_ABSOLUTE_THRESHOLD_CALIBRATED,READY_ABSOLUTE_MODEL_VALUE,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.Volumes.DynamicDrum.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,HRSG,P > PRE_EVENT_BASELINE * 1.15 for 1 s,PRE_EVENT_BASELINE_RATIO,1.15,ratio_to_baseline,HP_Drum.P,12000000,GT_TRIP_RAW_DATA_0.1s_0-40s.csv,0-10,CALIBRATED_MODEL_DIRECT,Direct model quantity and physical unit available
AL-0009,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HP HRSG,HP Drum,M-V_DIRECT,TSP.DRUM.HP.LEVEL,BallonHP.zl,hp_drum_level_mm,TRIP,HP Drum 레벨 고고 Trip,hp_drum_level_mm > 1300.000079 mm for 3 s,ABSOLUTE_MODEL_LEVEL,1300.000079,mm,HIGH,3,20 mm,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HP_HRSG_TRIP,TRUE,TRUE,A-L,THERMOSYSPRO_DIRECT_LEVEL_CALIBRATION,MODEL_LEVEL_VERIFIED_ABSOLUTE_THRESHOLD_CALIBRATED,READY_AFTER_M_TO_MM_ADAPTER,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.Volumes.DynamicDrum.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,HRSG,normalized_level(Vl) > 0.85 for 3 s,NORMALIZED_SPAN,0.85,fraction_of_span,BallonHP.zl,1050.000079,LOCAL_thermosyspro-raw.csv,0-50,CALIBRATED_MODEL_LEVEL_MM,Direct ThermoSysPro drum level converted from m to mm
AL-0010,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HP HRSG,HP Drum,M-V_DIRECT,TSP.DRUM.HP.LEVEL,BallonHP.zl,hp_drum_level_mm,TRIP,HP Drum 레벨 저저 Trip,hp_drum_level_mm < 800.000079 mm for 3 s,ABSOLUTE_MODEL_LEVEL,800.000079,mm,LOW,3,20 mm,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HP_HRSG_TRIP,TRUE,TRUE,A-L,THERMOSYSPRO_DIRECT_LEVEL_CALIBRATION,MODEL_LEVEL_VERIFIED_ABSOLUTE_THRESHOLD_CALIBRATED,READY_AFTER_M_TO_MM_ADAPTER,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.Volumes.DynamicDrum.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,HRSG,normalized_level(Vl) < 0.15 for 3 s,NORMALIZED_SPAN,0.15,fraction_of_span,BallonHP.zl,1050.000079,LOCAL_thermosyspro-raw.csv,0-50,CALIBRATED_MODEL_LEVEL_MM,Direct ThermoSysPro drum level converted from m to mm
AL-0011,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HP HRSG,HP Evaporator,M-V_DIRECT,TSP.MV.HP_EVAPORATOR.WS.Q_1,HP_Evaporator.TwoPhaseFlowPipe.Q[1],Q,TRIP,HP Evaporator 순환유량 저저 Trip,HP_Evaporator.TwoPhaseFlowPipe.Q[1] < 35 kg/s for 5 s,ABSOLUTE_MODEL_VALUE,35,kg/s,LOW,5,0 kg/s,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HRSG_TRIP,TRUE,TRUE,A-L,VIRTUAL_MODEL_PRETRIP_CALIBRATION,MODEL_SIGNAL_VERIFIED_ABSOLUTE_THRESHOLD_CALIBRATED,READY_ABSOLUTE_MODEL_VALUE,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.HeatExchangers.DynamicTwoPhaseFlowPipe.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,HRSG,Q < PRE_EVENT_BASELINE * 0.35 for 5 s,PRE_EVENT_BASELINE_RATIO,0.35,ratio_to_baseline,HP_Evaporator.TwoPhaseFlowPipe.Q[1],100,GT_TRIP_RAW_DATA_0.1s_0-40s.csv,0-10,CALIBRATED_MODEL_DIRECT,Direct model quantity and physical unit available
AL-0012,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HP HRSG,HP Superheater 3,M-V_CALCULATED,TSP.MV.HP_SUPERHEATER_3.WS.P_4;TSP.MV.HP_SUPERHEATER_3.WS.H_4,HP_SuperHeater_3.TwoPhaseFlowPipe.P[4];HP_SuperHeater_3.TwoPhaseFlowPipe.h[4],"T_ph(P,h)",TRIP,HP Superheater 3 출구 증기온도 Trip,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,2,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HRSG_TRIP,FALSE,TRUE,A-L,THERMOSYSPRO_MODEL+ASSUMED_LOGIC,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,https://build.openmodelica.org/Documentation/ThermoSysPro.WaterSteam.HeatExchangers.DynamicTwoPhaseFlowPipe.html,원시 변수명은 공개 빌드 로그로 확인. 임계값·지연·히스테리시스는 시연용 A-L 가정이며 현장 기준으로 교체 필요.,DCS2,HRSG,"T_ph(P,h) > PRE_EVENT_BASELINE * 1.08 for 2 s",PRE_EVENT_BASELINE_RATIO,1.08,ratio_to_baseline,,,,,DEFERRED_PROPERTY_CALCULATION,P/h property output must be exported and calculated in physical units
AL-0013,DCS2,HRSG,dcs2.csv,ABB_HRSG_BOP,HRSG,HRSG Protection,HRSG Master,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,HRSG Master Trip,HRSG_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_HRSG_TRIP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS2,HRSG,HRSG_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
