index,canonical_tag,opcua_browse_name,control_point_id,system,lab_group,role,unit,writable,present_in_uploaded_RAW,physical_effect,analysis_policy,implementation_status,source_url,run41_validation_status,release_status,run41_note,identity_scope,hallucination_audit_status,live_validation_status,write_validation_status,live_validation_run
17,CMD.VLV.LP_STEAM_VLV.MANUAL_POSITION,vppVlvLPSteamManualCmdNative,LP_STEAM_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
18,CMD.VLV.LP_STEAM_VLV.FAULT_ENABLE,vppVlvLPSteamFaultEnableNative,LP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
19,CMD.VLV.LP_STEAM_VLV.FAULT_POSITION,vppVlvLPSteamFaultValueNative,LP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
20,CMD.VLV.LP_FW_VLV.MODE_AUTO,vppVlvLPFWModeAutoNative,LP_FW_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
21,CMD.VLV.LP_FW_VLV.MANUAL_POSITION,vppVlvLPFWManualCmdNative,LP_FW_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
22,CMD.VLV.LP_FW_VLV.FAULT_ENABLE,vppVlvLPFWFaultEnableNative,LP_FW_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
23,CMD.VLV.LP_FW_VLV.FAULT_POSITION,vppVlvLPFWFaultValueNative,LP_FW_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
24,CMD.VLV.LP_TO_HPIP_FW_VLV.MODE_AUTO,vppVlvLPToHPIPFWModeAutoNative,LP_TO_HPIP_FW_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
25,CMD.VLV.LP_TO_HPIP_FW_VLV.MANUAL_POSITION,vppVlvLPToHPIPFWManualCmdNative,LP_TO_HPIP_FW_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
26,CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_ENABLE,vppVlvLPToHPIPFWFaultEnableNative,LP_TO_HPIP_FW_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
27,CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_POSITION,vppVlvLPToHPIPFWFaultValueNative,LP_TO_HPIP_FW_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
28,CMD.VLV.COND_EXTRACTION_VLV.MODE_AUTO,vppVlvCondExtractionModeAutoNative,COND_EXTRACTION_VLV,CONDENSER,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
29,CMD.VLV.COND_EXTRACTION_VLV.MANUAL_POSITION,vppVlvCondExtractionManualCmdNative,COND_EXTRACTION_VLV,CONDENSER,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
30,CMD.VLV.COND_EXTRACTION_VLV.FAULT_ENABLE,vppVlvCondExtractionFaultEnableNative,COND_EXTRACTION_VLV,CONDENSER,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
31,CMD.VLV.COND_EXTRACTION_VLV.FAULT_POSITION,vppVlvCondExtractionFaultValueNative,COND_EXTRACTION_VLV,CONDENSER,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
32,CMD.VLV.HP_TURB_ADM_VLV.MODE_AUTO,vppVlvHPTurbAdmModeAutoNative,HP_TURB_ADM_VLV,ST,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
33,CMD.VLV.HP_TURB_ADM_VLV.MANUAL_POSITION,vppVlvHPTurbAdmManualCmdNative,HP_TURB_ADM_VLV,ST,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
34,CMD.VLV.HP_TURB_ADM_VLV.FAULT_ENABLE,vppVlvHPTurbAdmFaultEnableNative,HP_TURB_ADM_VLV,ST,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
35,CMD.VLV.HP_TURB_ADM_VLV.FAULT_POSITION,vppVlvHPTurbAdmFaultValueNative,HP_TURB_ADM_VLV,ST,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
36,CMD.VLV.HP_FW_ISO_VLV.MODE_AUTO,vppVlvHPFWIsoModeAutoNative,HP_FW_ISO_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
37,CMD.VLV.HP_FW_ISO_VLV.MANUAL_POSITION,vppVlvHPFWIsoManualCmdNative,HP_FW_ISO_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
38,CMD.VLV.HP_FW_ISO_VLV.FAULT_ENABLE,vppVlvHPFWIsoFaultEnableNative,HP_FW_ISO_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
39,CMD.VLV.HP_FW_ISO_VLV.FAULT_POSITION,vppVlvHPFWIsoFaultValueNative,HP_FW_ISO_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
40,CMD.VLV.IP_FW_ISO_VLV.MODE_AUTO,vppVlvIPFWIsoModeAutoNative,IP_FW_ISO_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
41,CMD.VLV.IP_FW_ISO_VLV.MANUAL_POSITION,vppVlvIPFWIsoManualCmdNative,IP_FW_ISO_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
