raw_tag_id,system,equipment_id,signal_role,data_type,unit,description_ko,description_en,canonical_tag,local_display_alias,scope_class,writable,scenario_lab_role,analysis_policy,unit_status,interpretation_method,source_url,source_commit,is_native,live_existence,live_variant_type,live_node_id
vppCauseIPDrumLL,PROTECTION,IP DRUM,PROTECTION_CAUSE,BOOL,CAUSE,IP Drum LL 보호원인 상태,IP drum LL protection cause state,,CAUSE.IP_DRUM_LL,CURRENT_OPERATIONAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,GITHUB_EXPLICIT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000285)
vppCauseLPDrumHH,PROTECTION,LP DRUM,PROTECTION_CAUSE,BOOL,CAUSE,LP Drum HH 보호원인 상태,LP drum HH protection cause state,,CAUSE.LP_DRUM_HH,CURRENT_OPERATIONAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,GITHUB_EXPLICIT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000286)
vppCauseLPDrumLL,PROTECTION,LP DRUM,PROTECTION_CAUSE,BOOL,CAUSE,LP Drum LL 보호원인 상태,LP drum LL protection cause state,,CAUSE.LP_DRUM_LL,CURRENT_OPERATIONAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,GITHUB_EXPLICIT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000287)
vppCondenserLevel,CONDENSER,CONDENSER,PHYSICAL_OR_PROCESS,REAL,m,응축기 수위,condenser level,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,GITHUB_EXPLICIT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/scripts/native_ecms_opcua_client.py; https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=100011920)
vppCondenserPressure,CONDENSER,CONDENSER,PHYSICAL_OR_PROCESS,REAL,Pa,응축기 압력,condenser pressure,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,GITHUB_EXPLICIT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/scripts/native_ecms_opcua_client.py; https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=100011921)
vppCondenserSteamVolume.BH,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,W,응축기 입구 증기 혼합 체적 에너지 수지 잔차/항,Condenser inlet steam mixing volume energy-balance term,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=100011922)
vppCondenserSteamVolume.BQ,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,kg/s,응축기 입구 증기 혼합 체적 질량 수지 잔차/항,Condenser inlet steam mixing volume mass-balance term,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=100011923)
vppCondenserSteamVolume.Ce1.P,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,Pa,응축기 입구 증기 혼합 체적 입구1 압력,Condenser inlet steam mixing volume inlet 1 pressure,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002739)
vppCondenserSteamVolume.Ce1.Q,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,kg/s,응축기 입구 증기 혼합 체적 입구1 질량유량,Condenser inlet steam mixing volume inlet 1 mass flow,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002740)
vppCondenserSteamVolume.Ce1.a,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 a,vppCondenserSteamVolume connector Boolean pseudo-variable a for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000288)
vppCondenserSteamVolume.Ce1.b,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 b,vppCondenserSteamVolume connector Boolean pseudo-variable b for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=250000335)
vppCondenserSteamVolume.Ce1.h,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,J/kg,응축기 입구 증기 혼합 체적 입구1 비엔탈피,Condenser inlet steam mixing volume inlet 1 specific enthalpy,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002741)
vppCondenserSteamVolume.Ce1.h_vol,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,J/kg,응축기 입구 증기 혼합 체적 입구1 체적측 비엔탈피 상태,Condenser inlet steam mixing volume inlet 1 specific enthalpy volume-side state,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002742)
vppCondenserSteamVolume.Ce2.P,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,Pa,응축기 입구 증기 혼합 체적 입구2 압력,Condenser inlet steam mixing volume inlet 2 pressure,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002743)
vppCondenserSteamVolume.Ce2.Q,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,kg/s,응축기 입구 증기 혼합 체적 입구2 질량유량,Condenser inlet steam mixing volume inlet 2 mass flow,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002744)
vppCondenserSteamVolume.Ce2.a,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 a,vppCondenserSteamVolume connector Boolean pseudo-variable a for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000289)
vppCondenserSteamVolume.Ce2.b,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 b,vppCondenserSteamVolume connector Boolean pseudo-variable b for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=250000336)
vppCondenserSteamVolume.Ce2.h,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,J/kg,응축기 입구 증기 혼합 체적 입구2 비엔탈피,Condenser inlet steam mixing volume inlet 2 specific enthalpy,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002745)
vppCondenserSteamVolume.Ce2.h_vol,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,J/kg,응축기 입구 증기 혼합 체적 입구2 체적측 비엔탈피 상태,Condenser inlet steam mixing volume inlet 2 specific enthalpy volume-side state,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002746)
vppCondenserSteamVolume.Ce3.P,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,Pa,응축기 입구 증기 혼합 체적 입구3 압력,Condenser inlet steam mixing volume inlet 3 pressure,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002747)
vppCondenserSteamVolume.Ce3.Q,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,kg/s,응축기 입구 증기 혼합 체적 입구3 질량유량,Condenser inlet steam mixing volume inlet 3 mass flow,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002748)
vppCondenserSteamVolume.Ce3.a,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 a,vppCondenserSteamVolume connector Boolean pseudo-variable a for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=200000290)
vppCondenserSteamVolume.Ce3.b,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 b,vppCondenserSteamVolume connector Boolean pseudo-variable b for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=250000337)
vppCondenserSteamVolume.Ce3.h_vol,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,J/kg,응축기 입구 증기 혼합 체적 입구3 체적측 비엔탈피 상태,Condenser inlet steam mixing volume inlet 3 specific enthalpy volume-side state,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002750)
vppCondenserSteamVolume.Cs.P,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,Pa,응축기 입구 증기 혼합 체적 출구 포트 압력,Condenser inlet steam mixing volume outlet port pressure,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002751)
vppCondenserSteamVolume.Cs.Q,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,REAL,kg/s,응축기 입구 증기 혼합 체적 출구 포트 질량유량,Condenser inlet steam mixing volume outlet port mass flow,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,CONFIRMED_OR_DETERMINISTIC,STRUCTURAL_COMPONENT,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/9c8545dbcc595c7f80f1e71bf141c7180f32fd86/modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo,9c8545dbcc595c7f80f1e71bf141c7180f32fd86,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=150002752)
vppCondenserSteamVolume.Cs.a,CONDENSER,CONDENSER-STEAM-VOL,MODEL_INTERNAL,BOOL_OR_BINARY_REAL,BOOL,vppCondenserSteamVolume 커넥터 방향 검증용 Boolean 의사변수 a,vppCondenserSteamVolume connector Boolean pseudo-variable a for connection-orientation verification,,,RAW_INTERNAL_EVIDENCE,N,,RAW_EVIDENCE_ALLOWED,SOURCE_CONFIRMED,THERMOSYSPRO_CONNECTOR_DEFINITION,,LOCAL_UPLOAD_2026-09-18,True,CENSUS_OBSERVED,Variant,NumericNodeId(ns=1;i=250000338)
