index,prior_tag_id,category,prior_scope,prior_description,unit,prior_verification,exclusion_reason
14,vppHPDrumInventoryFaultInjector.C2.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 출구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
15,vppHPDrumInventoryFaultSource.C.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
16,vppHPDrumInventoryFaultSource.C.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
17,vppHPDrumInventoryFaultSource.C.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
18,vppHPDrumInventoryFaultSource.C.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
19,vppHPDrumInventoryFaultSource.C.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
20,vppHPDrumInventoryFaultSource.C.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
21,vppHPDrumInventoryFaultSource.IMassFlow.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 질량유량 명령 입력,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
22,vppHPDrumInventoryFaultSource.ISpecificEnthalpy.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 비엔탈피 명령 입력,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
23,vppHPDrumInventoryFaultSource.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
24,vppHPDrumInventoryFaultSource.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
25,vppHPDrumInventoryFaultSource.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 유량원 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
26,vppHPFWPCheckValve.reverseFlowBlock,CHECK_VALVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 토출 체크밸브 역류 차단 상태,BOOL,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
27,vppHPFWPDrive.angularSpeed,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 축 각속도,rad/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
28,vppHPFWPDrive.breakerClosed.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 차단기 투입 신호,BOOL,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
29,vppHPFWPDrive.frictionTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 마찰 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
30,vppHPFWPDrive.hydraulicTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 수력 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
31,vppHPFWPDrive.integralState,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 속도제어 PI 적분 상태(속도오차 적분값),(rev/min)*s,EQUATION_DERIVED_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
32,vppHPFWPDrive.motorTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 모터 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
33,vppHPFWPDrive.netTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 순 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
34,vppHPFWPDrive.pumpPower.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 펌프 동력 신호,W,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
35,vppHPFWPDrive.pumpPowerFiltered,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 필터링 펌프 동력,W,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
36,vppHPFWPDrive.speedCommand.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 속도 명령 신호,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
37,vppHPFWPDrive.speedError,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 속도 오차,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
38,vppHPFWPDrive.speedRpm,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 관성 펌프 구동부 축 회전속도,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
39,vppHPFWPHydraulicSpeedCommand.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 수력모델 회전속도 명령 신호,rev/min,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
40,vppHPFWPHydraulicSpeedRPM,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,HP FWP 수력 계산 회전속도,rpm,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
41,vppIPDrumInventoryDisturbanceMassFlowTH,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 교란 질량유량,t/h,HIGH_CONFIDENCE,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
42,vppIPDrumInventoryFaultEnthalpyCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,IP Drum 재고량 고장 주입 비엔탈피 명령 신호,J/kg,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
43,vppIPDrumInventoryFaultFlowCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,IP Drum 재고량 고장 주입 질량유량 명령 신호,kg/s,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
44,vppIPDrumInventoryFaultInjector.C1.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 입구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
45,vppIPDrumInventoryFaultInjector.C1.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 입구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
46,vppIPDrumInventoryFaultInjector.C1.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
47,vppIPDrumInventoryFaultInjector.C1.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
48,vppIPDrumInventoryFaultInjector.C1.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 입구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
49,vppIPDrumInventoryFaultInjector.C1.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 입구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
50,vppIPDrumInventoryFaultInjector.C2.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 출구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
51,vppIPDrumInventoryFaultInjector.C2.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 출구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
52,vppIPDrumInventoryFaultInjector.C2.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
53,vppIPDrumInventoryFaultInjector.C2.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
54,vppIPDrumInventoryFaultInjector.C2.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 출구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
55,vppIPDrumInventoryFaultInjector.C2.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 주입기 출구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
56,vppIPDrumInventoryFaultSource.C.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
57,vppIPDrumInventoryFaultSource.C.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
58,vppIPDrumInventoryFaultSource.C.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
59,vppIPDrumInventoryFaultSource.C.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppIPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
60,vppIPDrumInventoryFaultSource.C.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
61,vppIPDrumInventoryFaultSource.C.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
62,vppIPDrumInventoryFaultSource.IMassFlow.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 질량유량 명령 입력,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
63,vppIPDrumInventoryFaultSource.ISpecificEnthalpy.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 비엔탈피 명령 입력,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
64,vppIPDrumInventoryFaultSource.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
65,vppIPDrumInventoryFaultSource.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
66,vppIPDrumInventoryFaultSource.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,IP Drum 재고량 고장 유량원 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
67,vppIPFWPCheckValve.reverseFlowBlock,CHECK_VALVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 토출 체크밸브 역류 차단 상태,BOOL,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
68,vppIPFWPDrive.angularSpeed,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 축 각속도,rad/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
69,vppIPFWPDrive.breakerClosed.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 차단기 투입 신호,BOOL,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
70,vppIPFWPDrive.frictionTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 마찰 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
71,vppIPFWPDrive.hydraulicTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 수력 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
72,vppIPFWPDrive.integralState,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 속도제어 PI 적분 상태(속도오차 적분값),(rev/min)*s,EQUATION_DERIVED_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
73,vppIPFWPDrive.motorTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 모터 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
74,vppIPFWPDrive.netTorque,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 순 토크,N.m,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
75,vppIPFWPDrive.pumpPower.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 펌프 동력 신호,W,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
76,vppIPFWPDrive.pumpPowerFiltered,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 필터링 펌프 동력,W,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
77,vppIPFWPDrive.speedCommand.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 속도 명령 신호,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
78,vppIPFWPDrive.speedError,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 속도 오차,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
79,vppIPFWPDrive.speedRpm,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 관성 펌프 구동부 축 회전속도,rpm,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
80,vppIPFWPHydraulicSpeedCommand.signal,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 수력모델 회전속도 명령 신호,rev/min,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
81,vppIPFWPHydraulicSpeedRPM,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,IP FWP 수력 계산 회전속도,rpm,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
82,vppLPDrumInventoryDisturbanceMassFlowTH,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 교란 질량유량,t/h,HIGH_CONFIDENCE,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
83,vppLPDrumInventoryFaultEnthalpyCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,LP Drum 재고량 고장 주입 비엔탈피 명령 신호,J/kg,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
84,vppLPDrumInventoryFaultFlowCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,LP Drum 재고량 고장 주입 질량유량 명령 신호,kg/s,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
85,vppLPDrumInventoryFaultInjector.C1.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 입구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
86,vppLPDrumInventoryFaultInjector.C1.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 입구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
87,vppLPDrumInventoryFaultInjector.C1.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
88,vppLPDrumInventoryFaultInjector.C1.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
