logic_id,logic_type,group,logic_name,tag_id,event_tag,source_node,condition,delay,reset_hysteresis,status,verification_status,source_existence_status,linked_tag_ids,input_nodes,output_nodes_or_tags,output_class,input_group_id,source_basis
AL-HP-PRESS-L,ALARM,HP Drum,HP drum pressure L,HRSG.HP.DRUM.PRESS.L,HRSG.HP.DRUM.PRESS.L,vppHPDrumPressurePa,value < 12000000 Pa,0.5 s,200000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumPressurePa;HRSG.HP.DRUM.PRESS.L,vppHPDrumPressurePa,HRSG.HP.DRUM.PRESS.L,DERIVED_ALARM,IG-004,Current DCS alarm rule; RAW input node exists
AL-HP-PRESS-LL,ALARM,HP Drum,HP drum pressure LL,HRSG.HP.DRUM.PRESS.LL,HRSG.HP.DRUM.PRESS.LL,vppHPDrumPressurePa,value < 10800000 Pa,0.5 s,200000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumPressurePa;HRSG.HP.DRUM.PRESS.LL,vppHPDrumPressurePa,HRSG.HP.DRUM.PRESS.LL,DERIVED_ALARM,IG-004,Current DCS alarm rule; RAW input node exists
AL-IP-FLOW-L,ALARM,IP Steam Flow,IP turbine steam flow L,HRSG.IP.STEAM.FLOW.L,HRSG.IP.STEAM.FLOW.L,vppIPTurbineSteamFlowTH,value < 576 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPTurbineSteamFlowTH;HRSG.IP.STEAM.FLOW.L,vppIPTurbineSteamFlowTH,HRSG.IP.STEAM.FLOW.L,DERIVED_ALARM,IG-008,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-IP-FLOW-LL,ALARM,IP Steam Flow,IP turbine steam flow LL,HRSG.IP.STEAM.FLOW.LL,HRSG.IP.STEAM.FLOW.LL,vppIPTurbineSteamFlowTH,value < 378 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPTurbineSteamFlowTH;HRSG.IP.STEAM.FLOW.LL,vppIPTurbineSteamFlowTH,HRSG.IP.STEAM.FLOW.LL,DERIVED_ALARM,IG-008,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-IP-LEVEL-H,ALARM,IP Drum,IP drum level H,HRSG.IP.DRUM.LEVEL.H,HRSG.IP.DRUM.LEVEL.H,vppIPDrumLevelM,value > 1.15 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.H,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.H,DERIVED_ALARM,IG-006,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-HH,ALARM,IP Drum,IP drum level HH,HRSG.IP.DRUM.LEVEL.HH,HRSG.IP.DRUM.LEVEL.HH,vppIPDrumLevelM,value > 1.25 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.HH,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-006,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-L,ALARM,IP Drum,IP drum level L,HRSG.IP.DRUM.LEVEL.L,HRSG.IP.DRUM.LEVEL.L,vppIPDrumLevelM,value < 0.95 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.L,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.L,DERIVED_ALARM,IG-006,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-LL,ALARM,IP Drum,IP drum level LL,HRSG.IP.DRUM.LEVEL.LL,HRSG.IP.DRUM.LEVEL.LL,vppIPDrumLevelM,value < 0.85 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.LL,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-006,Current DCS alarm rule; RAW input node exists
AL-IP-PRESS-L,ALARM,IP Drum,IP drum pressure L,HRSG.IP.DRUM.PRESS.L,HRSG.IP.DRUM.PRESS.L,vppIPDrumPressurePa,value < 2550000 Pa,0.5 s,50000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumPressurePa;HRSG.IP.DRUM.PRESS.L,vppIPDrumPressurePa,HRSG.IP.DRUM.PRESS.L,DERIVED_ALARM,IG-007,Current DCS alarm rule; RAW input node exists
AL-IP-PRESS-LL,ALARM,IP Drum,IP drum pressure LL,HRSG.IP.DRUM.PRESS.LL,HRSG.IP.DRUM.PRESS.LL,vppIPDrumPressurePa,value < 2300000 Pa,0.5 s,50000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumPressurePa;HRSG.IP.DRUM.PRESS.LL,vppIPDrumPressurePa,HRSG.IP.DRUM.PRESS.LL,DERIVED_ALARM,IG-007,Current DCS alarm rule; RAW input node exists
AL-LP-FLOW-L,ALARM,LP Steam Flow,LP turbine steam flow L,HRSG.LP.STEAM.FLOW.L,HRSG.LP.STEAM.FLOW.L,vppLPTurbineSteamFlowTH,value < 630 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPTurbineSteamFlowTH;HRSG.LP.STEAM.FLOW.L,vppLPTurbineSteamFlowTH,HRSG.LP.STEAM.FLOW.L,DERIVED_ALARM,IG-011,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-LP-FLOW-LL,ALARM,LP Steam Flow,LP turbine steam flow LL,HRSG.LP.STEAM.FLOW.LL,HRSG.LP.STEAM.FLOW.LL,vppLPTurbineSteamFlowTH,value < 424.8 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPTurbineSteamFlowTH;HRSG.LP.STEAM.FLOW.LL,vppLPTurbineSteamFlowTH,HRSG.LP.STEAM.FLOW.LL,DERIVED_ALARM,IG-011,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-LP-LEVEL-H,ALARM,LP Drum,LP drum level H,HRSG.LP.DRUM.LEVEL.H,HRSG.LP.DRUM.LEVEL.H,vppLPDrumLevelM,value > 1.85 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.H,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.H,DERIVED_ALARM,IG-009,Current DCS alarm rule; RAW input node exists
AL-LP-LEVEL-HH,ALARM,LP Drum,LP drum level HH,HRSG.LP.DRUM.LEVEL.HH,HRSG.LP.DRUM.LEVEL.HH,vppLPDrumLevelM,value > 1.95 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.HH,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-009,Current DCS alarm rule; RAW input node exists
AL-LP-LEVEL-L,ALARM,LP Drum,LP drum level L,HRSG.LP.DRUM.LEVEL.L,HRSG.LP.DRUM.LEVEL.L,vppLPDrumLevelM,value < 1.65 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.L,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.L,DERIVED_ALARM,IG-009,Current DCS alarm rule; RAW input node exists
AL-LP-LEVEL-LL,ALARM,LP Drum,LP drum level LL,HRSG.LP.DRUM.LEVEL.LL,HRSG.LP.DRUM.LEVEL.LL,vppLPDrumLevelM,value < 1.55 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.LL,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-009,Current DCS alarm rule; RAW input node exists
AL-LP-PRESS-L,ALARM,LP Drum,LP drum pressure L,HRSG.LP.DRUM.PRESS.L,HRSG.LP.DRUM.PRESS.L,vppLPDrumPressurePa,value < 500000 Pa,0.5 s,10000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumPressurePa;HRSG.LP.DRUM.PRESS.L,vppLPDrumPressurePa,HRSG.LP.DRUM.PRESS.L,DERIVED_ALARM,IG-010,Current DCS alarm rule; RAW input node exists
AL-LP-PRESS-LL,ALARM,LP Drum,LP drum pressure LL,HRSG.LP.DRUM.PRESS.LL,HRSG.LP.DRUM.PRESS.LL,vppLPDrumPressurePa,value < 450000 Pa,0.5 s,10000 Pa,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumPressurePa;HRSG.LP.DRUM.PRESS.LL,vppLPDrumPressurePa,HRSG.LP.DRUM.PRESS.LL,DERIVED_ALARM,IG-010,Current DCS alarm rule; RAW input node exists
CMD-FWP-HP-RESET,COMMAND_INTERFACE,FWP HP,HP FWP reset command interface,vppHPFWPTripLatchNative,vppHPFWPTripLatchNative,vppHPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPFWPResetPushbuttonNative;vppHPFWPTripLatchNative,vppHPFWPResetPushbuttonNative,vppHPFWPTripLatchNative,RAW_NODE,IG-031,Reset node exists in RAW; exact reset sequencing remains runtime-owned
CMD-FWP-HP-TRIP,COMMAND_INTERFACE,FWP HP,HP FWP trip command interface,vppHPFWPTripCommandNative,vppHPFWPTripCommandNative,vppHPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPFWPTripPushbuttonNative;vppHPFWPTripCommandNative;vppHPFWPTripLatchNative;vppVCBA01TripCommandNative,vppHPFWPTripPushbuttonNative,vppHPFWPTripCommandNative|vppHPFWPTripLatchNative|vppVCBA01TripCommandNative,RAW_NODE,IG-030,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here
CMD-FWP-IP-RESET,COMMAND_INTERFACE,FWP IP,IP FWP reset command interface,vppIPFWPTripLatchNative,vppIPFWPTripLatchNative,vppIPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPFWPResetPushbuttonNative;vppIPFWPTripLatchNative,vppIPFWPResetPushbuttonNative,vppIPFWPTripLatchNative,RAW_NODE,IG-033,Reset node exists in RAW; exact reset sequencing remains runtime-owned
CMD-FWP-IP-TRIP,COMMAND_INTERFACE,FWP IP,IP FWP trip command interface,vppIPFWPTripCommandNative,vppIPFWPTripCommandNative,vppIPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPFWPTripPushbuttonNative;vppIPFWPTripCommandNative;vppIPFWPTripLatchNative;vppVCBB01TripCommandNative,vppIPFWPTripPushbuttonNative,vppIPFWPTripCommandNative|vppIPFWPTripLatchNative|vppVCBB01TripCommandNative,RAW_NODE,IG-032,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here
CMD-FWP-LP-RESET,COMMAND_INTERFACE,FWP LP,LP FWP reset command interface,vppLPFWPTripLatchNative,vppLPFWPTripLatchNative,vppLPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPFWPResetPushbuttonNative;vppLPFWPTripLatchNative,vppLPFWPResetPushbuttonNative,vppLPFWPTripLatchNative,RAW_NODE,IG-035,Reset node exists in RAW; exact reset sequencing remains runtime-owned
CMD-FWP-LP-TRIP,COMMAND_INTERFACE,FWP LP,LP FWP trip command interface,vppLPFWPTripCommandNative,vppLPFWPTripCommandNative,vppLPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPFWPTripPushbuttonNative;vppLPFWPTripCommandNative;vppLPFWPTripLatchNative;vppVCBA02TripCommandNative,vppLPFWPTripPushbuttonNative,vppLPFWPTripCommandNative|vppLPFWPTripLatchNative|vppVCBA02TripCommandNative,RAW_NODE,IG-034,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here
PROT-DIRECT-GT,PROTECTION_CAUSE,GT Protection,Direct GT trip cause,vppCauseDirectGTTrip,vppCauseDirectGTTrip,vppExternalTripCommandNative,command >= 0.5,0 s,reset by GT reset,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppExternalTripCommandNative;vppCauseDirectGTTrip,vppExternalTripCommandNative,vppCauseDirectGTTrip,RAW_NODE,IG-012,RAW node + runtime regression evidence
PROT-DIRECT-ST,PROTECTION_CAUSE,ST Protection,Direct ST trip cause,vppCauseDirectSTTrip,vppCauseDirectSTTrip,vppExternalSTTripCommandNative,command >= 0.5,0 s,reset by ST reset,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppExternalSTTripCommandNative;vppCauseDirectSTTrip,vppExternalSTTripCommandNative,vppCauseDirectSTTrip,RAW_NODE,IG-013,RAW node + runtime regression evidence
PROT-GT-BRK-OPEN,PROTECTION_CAUSE,GT Protection,GT breaker open while running cause,vppCauseGTBreakerOpenWhileRunning,vppCauseGTBreakerOpenWhileRunning,,52GT close command < 0.5 AND GT latch not active,0 s,state reset,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppECMS52GTClosedCommandNative;vppGTTripLatchInternal;vppCauseGTBreakerOpenWhileRunning,vppECMS52GTClosedCommandNative|vppGTTripLatchInternal,vppCauseGTBreakerOpenWhileRunning,RAW_NODE,IG-014,Exact expression recovered from model compile trace
PROT-GT-LATCH,LATCH,GT Protection,GT trip latch,vppGTTripLatch,vppGTTripLatch,,request=1 AND reset<0.5 -> latch; reset clears,event-driven,reset input,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppGTTripRequest;vppGTTripResetNative;vppGTTripLatch,vppGTTripRequest|vppGTTripResetNative,vppGTTripLatch,RAW_NODE,IG-023,Runtime latch node and request/reset nodes exist
PROT-GT-REQUEST,TRIP_REQUEST,GT Protection,GT trip request OR matrix,vppGTTripRequest,vppGTTripRequest,,OR(all inputs),0 s,GT reset,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppCauseDirectGTTrip;vppCauseGTBreakerOpenWhileRunning;vppCauseHPDrumLL;vppCauseIPDrumLL;vppCauseLPDrumLL;vppGTTripRequest,vppCauseDirectGTTrip|vppCauseGTBreakerOpenWhileRunning|vppCauseHPDrumLL|vppCauseIPDrumLL|vppCauseLPDrumLL,vppGTTripRequest,RAW_NODE,IG-021,Exact GT request equation recovered from model compile trace
PROT-HP-DRUM-HH,PROTECTION_CAUSE,HP Drum Protection,HP drum HH protection cause,vppCauseHPDrumHH,vppCauseHPDrumHH,vppHPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumHHRaw;vppCauseHPDrumHH,vppHPDrumHHRaw,vppCauseHPDrumHH,RAW_NODE,IG-015,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-HP-DRUM-LL,PROTECTION_CAUSE,HP Drum Protection,HP drum LL protection cause,vppCauseHPDrumLL,vppCauseHPDrumLL,vppHPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumLLRaw;vppCauseHPDrumLL,vppHPDrumLLRaw,vppCauseHPDrumLL,RAW_NODE,IG-016,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-IP-DRUM-HH,PROTECTION_CAUSE,IP Drum Protection,IP drum HH protection cause,vppCauseIPDrumHH,vppCauseIPDrumHH,vppIPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumHHRaw;vppCauseIPDrumHH,vppIPDrumHHRaw,vppCauseIPDrumHH,RAW_NODE,IG-017,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-IP-DRUM-LL,PROTECTION_CAUSE,IP Drum Protection,IP drum LL protection cause,vppCauseIPDrumLL,vppCauseIPDrumLL,vppIPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppIPDrumLLRaw;vppCauseIPDrumLL,vppIPDrumLLRaw,vppCauseIPDrumLL,RAW_NODE,IG-018,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-LP-DRUM-HH,PROTECTION_CAUSE,LP Drum Protection,LP drum HH protection cause,vppCauseLPDrumHH,vppCauseLPDrumHH,vppLPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumHHRaw;vppCauseLPDrumHH,vppLPDrumHHRaw,vppCauseLPDrumHH,RAW_NODE,IG-019,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-LP-DRUM-LL,PROTECTION_CAUSE,LP Drum Protection,LP drum LL protection cause,vppCauseLPDrumLL,vppCauseLPDrumLL,vppLPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppLPDrumLLRaw;vppCauseLPDrumLL,vppLPDrumLLRaw,vppCauseLPDrumLL,RAW_NODE,IG-020,RAW comparator/cause nodes exist; exact internal debounce retained in runtime
PROT-ST-LATCH,LATCH,ST Protection,ST trip latch,vppSTTripLatchPublished,vppSTTripLatchPublished,,request=1 AND reset<0.5 -> latch; reset clears,event-driven,reset input,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppSTTripRequest;vppSTTripResetNative;vppSTTripLatchPublished,vppSTTripRequest|vppSTTripResetNative,vppSTTripLatchPublished,RAW_NODE,IG-024,Runtime latch node and request/reset nodes exist
PROT-ST-REQUEST,TRIP_REQUEST,ST Protection,ST trip request common-trip matrix,vppSTTripRequest,vppSTTripRequest,,OR(all 9 causes),0 s,ST reset,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppCauseDirectGTTrip;vppCauseDirectSTTrip;vppCauseGTBreakerOpenWhileRunning;vppCauseHPDrumHH;vppCauseIPDrumHH;vppCauseLPDrumHH;vppCauseHPDrumLL;vppCauseIPDrumLL;vppCauseLPDrumLL;vppSTTripRequest,vppCauseDirectGTTrip|vppCauseDirectSTTrip|vppCauseGTBreakerOpenWhileRunning|vppCauseHPDrumHH|vppCauseIPDrumHH|vppCauseLPDrumHH|vppCauseHPDrumLL|vppCauseIPDrumLL|vppCauseLPDrumLL,vppSTTripRequest,RAW_NODE,IG-022,9-cause common-trip matrix + RAW nodes
RESP-GT-POWER,PHYSICAL_RESPONSE,GT Response,GT power response after breaker open,vppGTGPowerMW,vppGTGPowerMW,vpp52GTClosed,if 52GT not closed then GT generator power = 0,immediate model relation,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vpp52GTClosed;vppGTGPowerMW,vpp52GTClosed,vppGTGPowerMW,RAW_NODE,IG-029,Exact model equation
RESP-GT-SPEED,PHYSICAL_RESPONSE,GT Response,GT speed coastdown after breaker open,vppGTGSpeedRPM,vppGTGSpeedRPM,vpp52GTClosed,"if 52GT opens, speed decays from nominal by coastdown model",dynamic,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vpp52GTClosed;vppGTGSpeedRPM,vpp52GTClosed,vppGTGSpeedRPM,RAW_NODE,IG-029,Exact model equation
RESP-ST-GRID-POWER,PHYSICAL_RESPONSE,ST Protection,ST grid power response after 52ST opens,vppSTGridPowerMW,vppSTGridPowerMW,vpp52STClosed,if 52ST not closed then ST grid power = 0; otherwise ST grid power = ST generator power,immediate model relation,follows 52ST closed feedback,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vpp52STClosed;vppSTGridPowerMW,vpp52STClosed,vppSTGridPowerMW,RAW_NODE,IG-036,Exact Modelica equation + private local RAW readback hash; behavior verification remains PARTIAL
SEQ-52GT-OPEN,BREAKER_SEQUENCE,GT Protection,52GT breaker open timing,vpp52GTClosed,vpp52GTClosed,,GT latch active -> breaker opens,0.080 s,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppGTTripLatch;vppECMS52GTClosedCommandNative;vpp52GTClosed,vppGTTripLatch|vppECMS52GTClosedCommandNative,vpp52GTClosed,RAW_NODE,IG-026,vppGTBreakerOpenDelay = 0.080 s; EVENT run observed 48.44 -> 48.520005
SEQ-52GT-TRIPCMD,BREAKER_SEQUENCE,GT Protection,52GT trip command timing,vpp52GTTripCmd,vpp52GTTripCmd,vppGTTripLatch,GT latch active,0.055 s,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppGTTripLatch;vpp52GTTripCmd,vppGTTripLatch,vpp52GTTripCmd,RAW_NODE,IG-025,vppGTTripCommandDelay = 0.055 s
SEQ-52ST-OPEN,BREAKER_SEQUENCE,ST Protection,52ST breaker open timing,vpp52STClosed,vpp52STClosed,,ST latch active -> breaker opens,0.100 s,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppSTTripLatchPublished;vppECMS52STClosedCommandNative;vpp52STClosed,vppSTTripLatchPublished|vppECMS52STClosedCommandNative,vpp52STClosed,RAW_NODE,IG-028,vppSTBreakerOpenDelay = 0.100 s; EVENT run observed 48.44 -> 48.540005
SEQ-52ST-TRIPCMD,BREAKER_SEQUENCE,ST Protection,52ST trip command,vpp52STTripCmd,vpp52STTripCmd,vppSTTripLatchPublished,ST latch active,0 s,-,ACTIVE,PASS,LIVE_CENSUS_RESOLVED,vppSTTripLatchPublished;vpp52STTripCmd,vppSTTripLatchPublished,vpp52STTripCmd,RAW_NODE,IG-027,Runtime node sequence
