index,rule_id,group,logic_name,logic_type,input_nodes,resolved_raw_inputs,output_nodes_or_tags,resolved_raw_outputs,resolved_derived_outputs,link_status,review_required,issue,validation_status,source_basis,live_input_link,live_output_link,live_validation_run,live_note
20,AL-LP-LEVEL-H,LP Drum,LP drum level H,ALARM,vppLPDrumLevelM,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.H,,HRSG.LP.DRUM.LEVEL.H,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
21,AL-LP-LEVEL-HH,LP Drum,LP drum level HH,ALARM,vppLPDrumLevelM,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.HH,,HRSG.LP.DRUM.LEVEL.HH,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
22,AL-LP-LEVEL-L,LP Drum,LP drum level L,ALARM,vppLPDrumLevelM,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.L,,HRSG.LP.DRUM.LEVEL.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
23,AL-LP-LEVEL-LL,LP Drum,LP drum level LL,ALARM,vppLPDrumLevelM,vppLPDrumLevelM,HRSG.LP.DRUM.LEVEL.LL,,HRSG.LP.DRUM.LEVEL.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
24,AL-LP-PRESS-L,LP Drum,LP drum pressure L,ALARM,vppLPDrumPressurePa,vppLPDrumPressurePa,HRSG.LP.DRUM.PRESS.L,,HRSG.LP.DRUM.PRESS.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
25,AL-LP-PRESS-LL,LP Drum,LP drum pressure LL,ALARM,vppLPDrumPressurePa,vppLPDrumPressurePa,HRSG.LP.DRUM.PRESS.LL,,HRSG.LP.DRUM.PRESS.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
26,AL-LP-FLOW-L,LP Steam Flow,LP turbine steam flow L,ALARM,vppLPTurbineSteamFlowTH,vppLPTurbineSteamFlowTH,HRSG.LP.STEAM.FLOW.L,,HRSG.LP.STEAM.FLOW.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
27,AL-LP-FLOW-LL,LP Steam Flow,LP turbine steam flow LL,ALARM,vppLPTurbineSteamFlowTH,vppLPTurbineSteamFlowTH,HRSG.LP.STEAM.FLOW.LL,,HRSG.LP.STEAM.FLOW.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
28,PROT-DIRECT-GT,GT Protection,Direct GT trip cause,PROTECTION_CAUSE,vppExternalTripCommandNative,vppExternalTripCommandNative,vppCauseDirectGTTrip,vppCauseDirectGTTrip,,FULLY_RESOLVED,N,,PASS,RAW node + runtime regression evidence,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
29,PROT-DIRECT-ST,ST Protection,Direct ST trip cause,PROTECTION_CAUSE,vppExternalSTTripCommandNative,vppExternalSTTripCommandNative,vppCauseDirectSTTrip,vppCauseDirectSTTrip,,FULLY_RESOLVED,N,,PASS,RAW node + runtime regression evidence,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
30,PROT-GT-BRK-OPEN,GT Protection,GT breaker open while running cause,PROTECTION_CAUSE,vppECMS52GTClosedCommandNative | vppGTTripLatchInternal,vppECMS52GTClosedCommandNative; vppGTTripLatchInternal,vppCauseGTBreakerOpenWhileRunning,vppCauseGTBreakerOpenWhileRunning,,FULLY_RESOLVED,N,,PARTIAL,Exact expression recovered from model compile trace,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
31,PROT-HP-DRUM-HH,HP Drum Protection,HP drum HH protection cause,PROTECTION_CAUSE,vppHPDrumHHRaw,vppHPDrumHHRaw,vppCauseHPDrumHH,vppCauseHPDrumHH,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
32,PROT-HP-DRUM-LL,HP Drum Protection,HP drum LL protection cause,PROTECTION_CAUSE,vppHPDrumLLRaw,vppHPDrumLLRaw,vppCauseHPDrumLL,vppCauseHPDrumLL,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
33,PROT-IP-DRUM-HH,IP Drum Protection,IP drum HH protection cause,PROTECTION_CAUSE,vppIPDrumHHRaw,vppIPDrumHHRaw,vppCauseIPDrumHH,vppCauseIPDrumHH,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
34,PROT-IP-DRUM-LL,IP Drum Protection,IP drum LL protection cause,PROTECTION_CAUSE,vppIPDrumLLRaw,vppIPDrumLLRaw,vppCauseIPDrumLL,vppCauseIPDrumLL,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
35,PROT-LP-DRUM-HH,LP Drum Protection,LP drum HH protection cause,PROTECTION_CAUSE,vppLPDrumHHRaw,vppLPDrumHHRaw,vppCauseLPDrumHH,vppCauseLPDrumHH,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
36,PROT-LP-DRUM-LL,LP Drum Protection,LP drum LL protection cause,PROTECTION_CAUSE,vppLPDrumLLRaw,vppLPDrumLLRaw,vppCauseLPDrumLL,vppCauseLPDrumLL,,FULLY_RESOLVED,N,,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
37,PROT-GT-REQUEST,GT Protection,GT trip request OR matrix,TRIP_REQUEST,vppCauseDirectGTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,vppCauseDirectGTTrip; vppCauseGTBreakerOpenWhileRunning; vppCauseHPDrumLL; vppCauseIPDrumLL; vppCauseLPDrumLL,vppGTTripRequest,vppGTTripRequest,,FULLY_RESOLVED,N,,PASS,Exact GT request equation recovered from model compile trace,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
38,PROT-ST-REQUEST,ST Protection,ST trip request common-trip matrix,TRIP_REQUEST,vppCauseDirectGTTrip | vppCauseDirectSTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumHH | vppCauseIPDrumHH | vppCauseLPDrumHH | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,vppCauseDirectGTTrip; vppCauseDirectSTTrip; vppCauseGTBreakerOpenWhileRunning; vppCauseHPDrumHH; vppCauseIPDrumHH; vppCauseLPDrumHH; vppCauseHPDrumLL; vppCauseIPDrumLL; vppCauseLPDrumLL,vppSTTripRequest,vppSTTripRequest,,FULLY_RESOLVED,N,,PASS,9-cause common-trip matrix + RAW nodes,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
39,PROT-GT-LATCH,GT Protection,GT trip latch,LATCH,vppGTTripRequest | vppGTTripResetNative,vppGTTripRequest; vppGTTripResetNative,vppGTTripLatch,vppGTTripLatch,,FULLY_RESOLVED,N,,PASS,Runtime latch node and request/reset nodes exist,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
40,PROT-ST-LATCH,ST Protection,ST trip latch,LATCH,vppSTTripRequest | vppSTTripResetNative,vppSTTripRequest; vppSTTripResetNative,vppSTTripLatchPublished,vppSTTripLatchPublished,,FULLY_RESOLVED,N,,PASS,Runtime latch node and request/reset nodes exist,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
41,SEQ-52GT-TRIPCMD,GT Protection,52GT trip command timing,BREAKER_SEQUENCE,vppGTTripLatch,vppGTTripLatch,vpp52GTTripCmd,vpp52GTTripCmd,,FULLY_RESOLVED,N,,PASS,vppGTTripCommandDelay = 0.055 s,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
42,SEQ-52GT-OPEN,GT Protection,52GT breaker open timing,BREAKER_SEQUENCE,vppGTTripLatch | vppECMS52GTClosedCommandNative,vppGTTripLatch; vppECMS52GTClosedCommandNative,vpp52GTClosed,vpp52GTClosed,,FULLY_RESOLVED,N,,PASS,vppGTBreakerOpenDelay = 0.080 s; EVENT run observed 48.44 -> 48.520005,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
43,SEQ-52ST-TRIPCMD,ST Protection,52ST trip command,BREAKER_SEQUENCE,vppSTTripLatchPublished,vppSTTripLatchPublished,vpp52STTripCmd,vpp52STTripCmd,,FULLY_RESOLVED,N,,PASS,Runtime node sequence,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
44,SEQ-52ST-OPEN,ST Protection,52ST breaker open timing,BREAKER_SEQUENCE,vppSTTripLatchPublished | vppECMS52STClosedCommandNative,vppSTTripLatchPublished; vppECMS52STClosedCommandNative,vpp52STClosed,vpp52STClosed,,FULLY_RESOLVED,N,,PASS,vppSTBreakerOpenDelay = 0.100 s; EVENT run observed 48.44 -> 48.540005,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
45,RESP-GT-POWER,GT Response,GT power response after breaker open,PHYSICAL_RESPONSE,vpp52GTClosed,vpp52GTClosed,vppGTGPowerMW,vppGTGPowerMW,,FULLY_RESOLVED,N,,PASS,Exact model equation,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
46,RESP-GT-SPEED,GT Response,GT speed coastdown after breaker open,PHYSICAL_RESPONSE,vpp52GTClosed,vpp52GTClosed,vppGTGSpeedRPM,vppGTGSpeedRPM,,FULLY_RESOLVED,N,,PASS,Exact model equation,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
47,CMD-FWP-HP-TRIP,FWP HP,HP FWP trip command interface,COMMAND_INTERFACE,vppHPFWPTripPushbuttonNative,vppHPFWPTripPushbuttonNative,vppHPFWPTripCommandNative | vppHPFWPTripLatchNative | vppVCBA01TripCommandNative,vppHPFWPTripCommandNative; vppHPFWPTripLatchNative; vppVCBA01TripCommandNative,,FULLY_RESOLVED,N,,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
48,CMD-FWP-HP-RESET,FWP HP,HP FWP reset command interface,COMMAND_INTERFACE,vppHPFWPResetPushbuttonNative,vppHPFWPResetPushbuttonNative,vppHPFWPTripLatchNative,vppHPFWPTripLatchNative,,FULLY_RESOLVED,N,,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
49,CMD-FWP-IP-TRIP,FWP IP,IP FWP trip command interface,COMMAND_INTERFACE,vppIPFWPTripPushbuttonNative,vppIPFWPTripPushbuttonNative,vppIPFWPTripCommandNative | vppIPFWPTripLatchNative | vppVCBB01TripCommandNative,vppIPFWPTripCommandNative; vppIPFWPTripLatchNative; vppVCBB01TripCommandNative,,FULLY_RESOLVED,N,,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
50,CMD-FWP-IP-RESET,FWP IP,IP FWP reset command interface,COMMAND_INTERFACE,vppIPFWPResetPushbuttonNative,vppIPFWPResetPushbuttonNative,vppIPFWPTripLatchNative,vppIPFWPTripLatchNative,,FULLY_RESOLVED,N,,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
51,CMD-FWP-LP-TRIP,FWP LP,LP FWP trip command interface,COMMAND_INTERFACE,vppLPFWPTripPushbuttonNative,vppLPFWPTripPushbuttonNative,vppLPFWPTripCommandNative | vppLPFWPTripLatchNative | vppVCBA02TripCommandNative,vppLPFWPTripCommandNative; vppLPFWPTripLatchNative; vppVCBA02TripCommandNative,,FULLY_RESOLVED,N,,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
52,CMD-FWP-LP-RESET,FWP LP,LP FWP reset command interface,COMMAND_INTERFACE,vppLPFWPResetPushbuttonNative,vppLPFWPResetPushbuttonNative,vppLPFWPTripLatchNative,vppLPFWPTripLatchNative,,FULLY_RESOLVED,N,,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
