logic_version,rule_id,enabled,system,logic_kind,source_signal,logic_signal,model_state_candidates,model_value_candidates,active_when,alarm_tag,description_ko,direction,threshold_mode,threshold_value,hysteresis_value,delay_s,event_class,severity,priority,display_color,unit,status,calibration_basis
VPP-LOGIC-DRAFT-2026-09-09,D2-104,1,DCS2,ANALOG,hp_drum_level_m,hp_drum_level_ll,alarmRuntime.alarm_D2_104|alarmRuntime.analog_D2_104.active,alarmRuntime.hp_drum_level_m|BallonHP.yLevel.signal,TRUE,HRSG.HP.DRUM.LEVEL.LL,HP 드럼 수위 저저,LOW,ABSOLUTE,0.85,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-111,1,DCS2,ANALOG,ip_drum_level_m,,alarmRuntime.alarm_D2_111|alarmRuntime.analog_D2_111.active,alarmRuntime.ip_drum_level_m|BallonMP.yLevel.signal,TRUE,HRSG.IP.DRUM.LEVEL.H,IP 드럼 수위 고,HIGH,ABSOLUTE,1.15,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-112,1,DCS2,ANALOG,ip_drum_level_m,ip_drum_level_hh,alarmRuntime.alarm_D2_112|alarmRuntime.analog_D2_112.active,alarmRuntime.ip_drum_level_m|BallonMP.yLevel.signal,TRUE,HRSG.IP.DRUM.LEVEL.HH,IP 드럼 수위 고고,HIGH,ABSOLUTE,1.25,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-113,1,DCS2,ANALOG,ip_drum_level_m,,alarmRuntime.alarm_D2_113|alarmRuntime.analog_D2_113.active,alarmRuntime.ip_drum_level_m|BallonMP.yLevel.signal,TRUE,HRSG.IP.DRUM.LEVEL.L,IP 드럼 수위 저,LOW,ABSOLUTE,0.95,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-114,1,DCS2,ANALOG,ip_drum_level_m,ip_drum_level_ll,alarmRuntime.alarm_D2_114|alarmRuntime.analog_D2_114.active,alarmRuntime.ip_drum_level_m|BallonMP.yLevel.signal,TRUE,HRSG.IP.DRUM.LEVEL.LL,IP 드럼 수위 저저,LOW,ABSOLUTE,0.85,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-121,1,DCS2,ANALOG,lp_drum_level_m,,alarmRuntime.alarm_D2_121|alarmRuntime.analog_D2_121.active,alarmRuntime.lp_drum_level_m|BallonBP.yLevel.signal,TRUE,HRSG.LP.DRUM.LEVEL.H,LP 드럼 수위 고,HIGH,ABSOLUTE,1.85,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1750 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-122,1,DCS2,ANALOG,lp_drum_level_m,lp_drum_level_hh,alarmRuntime.alarm_D2_122|alarmRuntime.analog_D2_122.active,alarmRuntime.lp_drum_level_m|BallonBP.yLevel.signal,TRUE,HRSG.LP.DRUM.LEVEL.HH,LP 드럼 수위 고고,HIGH,ABSOLUTE,1.95,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1750 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-123,1,DCS2,ANALOG,lp_drum_level_m,,alarmRuntime.alarm_D2_123|alarmRuntime.analog_D2_123.active,alarmRuntime.lp_drum_level_m|BallonBP.yLevel.signal,TRUE,HRSG.LP.DRUM.LEVEL.L,LP 드럼 수위 저,LOW,ABSOLUTE,1.65,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1750 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-124,1,DCS2,ANALOG,lp_drum_level_m,lp_drum_level_ll,alarmRuntime.alarm_D2_124|alarmRuntime.analog_D2_124.active,alarmRuntime.lp_drum_level_m|BallonBP.yLevel.signal,TRUE,HRSG.LP.DRUM.LEVEL.LL,LP 드럼 수위 저저,LOW,ABSOLUTE,1.55,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1750 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-201,1,DCS2,ANALOG,hp_drum_pressure_pa,,alarmRuntime.alarm_D2_201|alarmRuntime.analog_D2_201.active,alarmRuntime.hp_drum_pressure_pa|BallonHP.P,TRUE,HRSG.HP.DRUM.PRESS.L,HP 드럼 압력 저,LOW,ABSOLUTE,12000000,200000,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,Pa,PROVISIONAL_NOT_PLANT_APPROVED,12.726 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-202,1,DCS2,ANALOG,hp_drum_pressure_pa,,alarmRuntime.alarm_D2_202|alarmRuntime.analog_D2_202.active,alarmRuntime.hp_drum_pressure_pa|BallonHP.P,TRUE,HRSG.HP.DRUM.PRESS.LL,HP 드럼 압력 저저,LOW,ABSOLUTE,10800000,200000,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,Pa,PROVISIONAL_NOT_PLANT_APPROVED,12.726 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-211,1,DCS2,ANALOG,ip_drum_pressure_pa,,alarmRuntime.alarm_D2_211|alarmRuntime.analog_D2_211.active,alarmRuntime.ip_drum_pressure_pa|BallonMP.P,TRUE,HRSG.IP.DRUM.PRESS.L,IP 드럼 압력 저,LOW,ABSOLUTE,2550000,50000,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,Pa,PROVISIONAL_NOT_PLANT_APPROVED,2.734 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-212,1,DCS2,ANALOG,ip_drum_pressure_pa,,alarmRuntime.alarm_D2_212|alarmRuntime.analog_D2_212.active,alarmRuntime.ip_drum_pressure_pa|BallonMP.P,TRUE,HRSG.IP.DRUM.PRESS.LL,IP 드럼 압력 저저,LOW,ABSOLUTE,2300000,50000,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,Pa,PROVISIONAL_NOT_PLANT_APPROVED,2.734 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-221,1,DCS2,ANALOG,lp_drum_pressure_pa,,alarmRuntime.alarm_D2_221|alarmRuntime.analog_D2_221.active,alarmRuntime.lp_drum_pressure_pa|BallonBP.P,TRUE,HRSG.LP.DRUM.PRESS.L,LP 드럼 압력 저,LOW,ABSOLUTE,500000,10000,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,Pa,PROVISIONAL_NOT_PLANT_APPROVED,0.536 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-222,1,DCS2,ANALOG,lp_drum_pressure_pa,,alarmRuntime.alarm_D2_222|alarmRuntime.analog_D2_222.active,alarmRuntime.lp_drum_pressure_pa|BallonBP.P,TRUE,HRSG.LP.DRUM.PRESS.LL,LP 드럼 압력 저저,LOW,ABSOLUTE,450000,10000,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,Pa,PROVISIONAL_NOT_PLANT_APPROVED,0.536 MPa model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-301,1,DCS2,ANALOG,hp_steam_flow_kg_s,,alarmRuntime.alarm_D2_301|alarmRuntime.analog_D2_301.active,alarmRuntime.hp_steam_flow_kg_s|TurbineHP.Q,TRUE,HRSG.HP.STEAM.FLOW.L,HP 증기 유량 저,LOW,ABSOLUTE,135,3,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,151.769 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-302,1,DCS2,ANALOG,hp_steam_flow_kg_s,,alarmRuntime.alarm_D2_302|alarmRuntime.analog_D2_302.active,alarmRuntime.hp_steam_flow_kg_s|TurbineHP.Q,TRUE,HRSG.HP.STEAM.FLOW.LL,HP 증기 유량 저저,LOW,ABSOLUTE,90,3,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,151.769 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-311,1,DCS2,ANALOG,ip_steam_flow_kg_s,,alarmRuntime.alarm_D2_311|alarmRuntime.analog_D2_311.active,alarmRuntime.ip_steam_flow_kg_s|TurbineMP.Q,TRUE,HRSG.IP.STEAM.FLOW.L,IP 증기 유량 저,LOW,ABSOLUTE,160,3,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,176.789 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-312,1,DCS2,ANALOG,ip_steam_flow_kg_s,,alarmRuntime.alarm_D2_312|alarmRuntime.analog_D2_312.active,alarmRuntime.ip_steam_flow_kg_s|TurbineMP.Q,TRUE,HRSG.IP.STEAM.FLOW.LL,IP 증기 유량 저저,LOW,ABSOLUTE,105,3,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,176.789 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-321,1,DCS2,ANALOG,lp_steam_flow_kg_s,,alarmRuntime.alarm_D2_321|alarmRuntime.analog_D2_321.active,alarmRuntime.lp_steam_flow_kg_s|TurbineBP.Q,TRUE,HRSG.LP.STEAM.FLOW.L,LP 증기 유량 저,LOW,ABSOLUTE,175,3,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,196.653 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-322,1,DCS2,ANALOG,lp_steam_flow_kg_s,,alarmRuntime.alarm_D2_322|alarmRuntime.analog_D2_322.active,alarmRuntime.lp_steam_flow_kg_s|TurbineBP.Q,TRUE,HRSG.LP.STEAM.FLOW.LL,LP 증기 유량 저저,LOW,ABSOLUTE,118,3,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,196.653 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,SYS-001,1,DCS1,STATE,gt_trip_request,,alarmRuntime.gtTripRequest,alarmRuntime.gtTripRequest,TRUE,GT.TRIP.REQUEST,GT 공통 트립 요청,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,common_trip_matrix.csv
VPP-LOGIC-DRAFT-2026-09-09,SYS-002,1,DCS1,STATE,st_trip_request,,alarmRuntime.stTripRequest,alarmRuntime.stTripRequest,TRUE,ST.TRIP.REQUEST,ST 공통 트립 요청,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,common_trip_matrix.csv
VPP-LOGIC-DRAFT-2026-09-09,SYS-003,1,DCS1,STATE,gt_trip_latched,,alarmRuntime.gtTripLatched|alarmRuntime.gtSequence.latched,alarmRuntime.gtTripLatched|alarmRuntime.gtSequence.latched,TRUE,GT.TRIP.LATCHED,GT 트립 래치 동작,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Current common protection draft
VPP-LOGIC-DRAFT-2026-09-09,SYS-004,1,DCS1,STATE,st_trip_latched,,alarmRuntime.stTripLatched|alarmRuntime.stSequence.latched,alarmRuntime.stTripLatched|alarmRuntime.stSequence.latched,TRUE,ST.TRIP.LATCHED,ST 트립 래치 동작,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Current common protection draft
VPP-LOGIC-DRAFT-2026-09-09,SYS-005,1,DCS1,STATE,relay_86gt_trip_received,,alarmRuntime.relay86GTTripReceived|alarmRuntime.gtSequence.relayTripReceived,alarmRuntime.relay86GTTripReceived|alarmRuntime.gtSequence.relayTripReceived,TRUE,86GT.TRIP.RECEIVED,86GT 트립 수신,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Current common protection draft
VPP-LOGIC-DRAFT-2026-09-09,SYS-006,1,DCS1,STATE,relay_86gt_operated,,alarmRuntime.relay86GTOperated|alarmRuntime.gtSequence.relay86Operated,alarmRuntime.relay86GTOperated|alarmRuntime.gtSequence.relay86Operated,TRUE,86GT.OPERATED,86GT 락아웃 계전기 동작,HIGH,STATE,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Current common protection draft
VPP-LOGIC-DRAFT-2026-09-09,SYS-007,1,DCS1,STATE,breaker_52gt_closed,,alarmRuntime.breaker52GTClosed|alarmRuntime.gtSequence.breakerClosed,alarmRuntime.breaker52GTClosed|alarmRuntime.gtSequence.breakerClosed,FALSE,52GT.OPEN,GT 발전기 차단기 개방,LOW,STATE,0,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Breaker-open Trip semantics
VPP-LOGIC-DRAFT-2026-09-09,SYS-008,1,DCS1,STATE,breaker_52st_closed,,alarmRuntime.breaker52STClosed|alarmRuntime.stSequence.breakerClosed,alarmRuntime.breaker52STClosed|alarmRuntime.stSequence.breakerClosed,FALSE,52ST.OPEN,ST 발전기 차단기 개방,LOW,STATE,0,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Breaker-open Trip semantics
VPP-LOGIC-DRAFT-2026-09-09,SYS-009,1,DCS2,STATE,bfp_hp_breaker_closed,,bfpHPBreakerClosed|breakerHPClosed,bfpHPBreakerClosed|breakerHPClosed,FALSE,BOP.FWP-HP.BREAKER.OPEN,HP 급수펌프 차단기 개방,LOW,STATE,0,0,0,OPERATION,OPERATION,P4,#0067C5,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Modelica BFP event command feedback
