rule_id,event_class,priority,equipment,tag,source_node,active_when,active_threshold,return_threshold,unit,active_message,return_message,enabled,delay_s
VLV_LP_FW_FAULT,ALARM,HIGH,LP FW VALVE,VALVE_FAULT,vppVlvLPFWFaultActive,HIGH,0.5,0.5,BOOL,LP FW VALVE FAULT ACTIVE,LP FW VALVE FAULT RETURN,1,0
VLV_LP_TO_HPIP_FW_FAULT,ALARM,HIGH,LP TO HPIP FW VALVE,VALVE_FAULT,vppVlvLPToHPIPFWFaultActive,HIGH,0.5,0.5,BOOL,LP TO HPIP FW VALVE FAULT ACTIVE,LP TO HPIP FW VALVE FAULT RETURN,1,0
VLV_COND_EXTRACTION_FAULT,ALARM,HIGH,COND EXTRACTION VALVE,VALVE_FAULT,vppVlvCondExtractionFaultActive,HIGH,0.5,0.5,BOOL,COND EXTRACTION VALVE FAULT ACTIVE,COND EXTRACTION VALVE FAULT RETURN,1,0
VLV_HP_TURB_ADM_FAULT,ALARM,HIGH,HP TURB ADM VALVE,VALVE_FAULT,vppVlvHPTurbAdmFaultActive,HIGH,0.5,0.5,BOOL,HP TURB ADM VALVE FAULT ACTIVE,HP TURB ADM VALVE FAULT RETURN,1,0
VLV_HP_FW_ISO_FAULT,ALARM,HIGH,HP FW ISO VALVE,VALVE_FAULT,vppVlvHPFWIsoFaultActive,HIGH,0.5,0.5,BOOL,HP FW ISO VALVE FAULT ACTIVE,HP FW ISO VALVE FAULT RETURN,1,0
VLV_IP_FW_ISO_FAULT,ALARM,HIGH,IP FW ISO VALVE,VALVE_FAULT,vppVlvIPFWIsoFaultActive,HIGH,0.5,0.5,BOOL,IP FW ISO VALVE FAULT ACTIVE,IP FW ISO VALVE FAULT RETURN,1,0
VLV_IP_TURB_ADM_FAULT,ALARM,HIGH,IP TURB ADM VALVE,VALVE_FAULT,vppVlvIPTurbAdmFaultActive,HIGH,0.5,0.5,BOOL,IP TURB ADM VALVE FAULT ACTIVE,IP TURB ADM VALVE FAULT RETURN,1,0
HP_FW_FLOW_LOW,ALARM,HIGH,HP FEEDWATER,FLOW_LOW,vppHPFWPMassFlowTH,BASELINE_RATIO_LOW,0.5,0.6,t/h,HP FW FLOW LOW ALARM,HP FW FLOW LOW RETURN,1,0
IP_FW_FLOW_LOW,ALARM,HIGH,IP FEEDWATER,FLOW_LOW,vppIPFWPMassFlowTH,BASELINE_RATIO_LOW,0.5,0.6,t/h,IP FW FLOW LOW ALARM,IP FW FLOW LOW RETURN,1,0
LP_FW_FLOW_LOW,ALARM,HIGH,LP FEEDWATER,FLOW_LOW,vppLPFWPMassFlowTH,BASELINE_RATIO_LOW,0.5,0.6,t/h,LP FW FLOW LOW ALARM,LP FW FLOW LOW RETURN,1,0
HP_DRUM_LEVEL_LOW,ALARM,MEDIUM,HP DRUM,LEVEL_LOW,vppHPDrumLevelM,LOW,0.95,0.97,m,HP DRUM LEVEL LOW ALARM,HP DRUM LEVEL LOW RETURN,1,0.5
HP_DRUM_LEVEL_LOW_LOW,ALARM,CRITICAL,HP DRUM,LEVEL_LOW_LOW,vppHPDrumLevelM,LOW,0.85,0.87,m,HP DRUM LEVEL LOW-LOW ALARM,HP DRUM LEVEL LOW-LOW RETURN,1,0.5
IP_DRUM_LEVEL_LOW,ALARM,MEDIUM,IP DRUM,LEVEL_LOW,vppIPDrumLevelM,LOW,0.95,0.97,m,IP DRUM LEVEL LOW ALARM,IP DRUM LEVEL LOW RETURN,1,0.5
IP_DRUM_LEVEL_LOW_LOW,ALARM,CRITICAL,IP DRUM,LEVEL_LOW_LOW,vppIPDrumLevelM,LOW,0.85,0.87,m,IP DRUM LEVEL LOW-LOW ALARM,IP DRUM LEVEL LOW-LOW RETURN,1,0.5
LP_DRUM_LEVEL_LOW,ALARM,MEDIUM,LP DRUM,LEVEL_LOW,vppLPDrumLevelM,LOW,1.65,1.67,m,LP DRUM LEVEL LOW ALARM,LP DRUM LEVEL LOW RETURN,1,0.5
LP_DRUM_LEVEL_LOW_LOW,ALARM,CRITICAL,LP DRUM,LEVEL_LOW_LOW,vppLPDrumLevelM,LOW,1.55,1.57,m,LP DRUM LEVEL LOW-LOW ALARM,LP DRUM LEVEL LOW-LOW RETURN,1,0.5
GT_EXHAUST_FLOW_LOW,ALARM,MEDIUM,GT EXHAUST,FLOW_LOW,vppGTExhaustMassFlowTH,LOW,1962,1983.6,t/h,GT EXHAUST FLOW LOW ALARM,GT EXHAUST FLOW LOW RETURN,1,0.2
GT_EXHAUST_FLOW_LOW_LOW,ALARM,CRITICAL,GT EXHAUST,FLOW_LOW_LOW,vppGTExhaustMassFlowTH,LOW,1080,1101.6,t/h,GT EXHAUST FLOW LOW-LOW ALARM,GT EXHAUST FLOW LOW-LOW RETURN,1,0.2
GT_EXHAUST_TEMP_LOW,ALARM,MEDIUM,GT EXHAUST,TEMPERATURE_LOW,vppGTExhaustTemperatureK,LOW,805,810,K,GT EXHAUST TEMPERATURE LOW ALARM,GT EXHAUST TEMPERATURE LOW RETURN,1,0.2
GT_EXHAUST_TEMP_LOW_LOW,ALARM,CRITICAL,GT EXHAUST,TEMPERATURE_LOW_LOW,vppGTExhaustTemperatureK,LOW,580,585,K,GT EXHAUST TEMPERATURE LOW-LOW ALARM,GT EXHAUST TEMPERATURE LOW-LOW RETURN,1,0.2
HP_DRUM_LEVEL_HIGH,ALARM,MEDIUM,HP DRUM,LEVEL_HIGH,vppHPDrumLevelM,HIGH,1.15,1.13,m,HP DRUM LEVEL HIGH ALARM,HP DRUM LEVEL HIGH RETURN,1,0.5
HP_DRUM_LEVEL_HIGH_HIGH,ALARM,CRITICAL,HP DRUM,LEVEL_HIGH_HIGH,vppHPDrumLevelM,HIGH,1.25,1.23,m,HP DRUM LEVEL HIGH-HIGH ALARM,HP DRUM LEVEL HIGH-HIGH RETURN,1,0.5
IP_DRUM_LEVEL_HIGH,ALARM,MEDIUM,IP DRUM,LEVEL_HIGH,vppIPDrumLevelM,HIGH,1.15,1.13,m,IP DRUM LEVEL HIGH ALARM,IP DRUM LEVEL HIGH RETURN,1,0.5
IP_DRUM_LEVEL_HIGH_HIGH,ALARM,CRITICAL,IP DRUM,LEVEL_HIGH_HIGH,vppIPDrumLevelM,HIGH,1.25,1.23,m,IP DRUM LEVEL HIGH-HIGH ALARM,IP DRUM LEVEL HIGH-HIGH RETURN,1,0.5
LP_DRUM_LEVEL_HIGH,ALARM,MEDIUM,LP DRUM,LEVEL_HIGH,vppLPDrumLevelM,HIGH,1.85,1.83,m,LP DRUM LEVEL HIGH ALARM,LP DRUM LEVEL HIGH RETURN,1,0.5
LP_DRUM_LEVEL_HIGH_HIGH,ALARM,CRITICAL,LP DRUM,LEVEL_HIGH_HIGH,vppLPDrumLevelM,HIGH,1.95,1.93,m,LP DRUM LEVEL HIGH-HIGH ALARM,LP DRUM LEVEL HIGH-HIGH RETURN,1,0.5
HP_DRUM_PRESSURE_LOW,ALARM,MEDIUM,HP DRUM,PRESSURE_LOW,vppHPDrumPressurePa,LOW,12000000,12200000,Pa,HP DRUM PRESSURE LOW ALARM,HP DRUM PRESSURE LOW RETURN,1,0.5
HP_DRUM_PRESSURE_LOW_LOW,ALARM,CRITICAL,HP DRUM,PRESSURE_LOW_LOW,vppHPDrumPressurePa,LOW,10800000,11000000,Pa,HP DRUM PRESSURE LOW-LOW ALARM,HP DRUM PRESSURE LOW-LOW RETURN,1,0.5
IP_DRUM_PRESSURE_LOW,ALARM,MEDIUM,IP DRUM,PRESSURE_LOW,vppIPDrumPressurePa,LOW,2550000,2600000,Pa,IP DRUM PRESSURE LOW ALARM,IP DRUM PRESSURE LOW RETURN,1,0.5
IP_DRUM_PRESSURE_LOW_LOW,ALARM,CRITICAL,IP DRUM,PRESSURE_LOW_LOW,vppIPDrumPressurePa,LOW,2300000,2350000,Pa,IP DRUM PRESSURE LOW-LOW ALARM,IP DRUM PRESSURE LOW-LOW RETURN,1,0.5
LP_DRUM_PRESSURE_LOW,ALARM,MEDIUM,LP DRUM,PRESSURE_LOW,vppLPDrumPressurePa,LOW,500000,510000,Pa,LP DRUM PRESSURE LOW ALARM,LP DRUM PRESSURE LOW RETURN,1,0.5
LP_DRUM_PRESSURE_LOW_LOW,ALARM,CRITICAL,LP DRUM,PRESSURE_LOW_LOW,vppLPDrumPressurePa,LOW,450000,460000,Pa,LP DRUM PRESSURE LOW-LOW ALARM,LP DRUM PRESSURE LOW-LOW RETURN,1,0.5
HP_STEAM_FLOW_LOW,ALARM,MEDIUM,HP TURBINE,FLOW_LOW,vppHPTurbineSteamFlowTH,LOW,486,496.8,t/h,HP TURBINE STEAM FLOW LOW ALARM,HP TURBINE STEAM FLOW LOW RETURN,1,0.2
HP_STEAM_FLOW_LOW_LOW,ALARM,CRITICAL,HP TURBINE,FLOW_LOW_LOW,vppHPTurbineSteamFlowTH,LOW,324,334.8,t/h,HP TURBINE STEAM FLOW LOW-LOW ALARM,HP TURBINE STEAM FLOW LOW-LOW RETURN,1,0.2
IP_STEAM_FLOW_LOW,ALARM,MEDIUM,IP TURBINE,FLOW_LOW,vppIPTurbineSteamFlowTH,LOW,576,586.8,t/h,IP TURBINE STEAM FLOW LOW ALARM,IP TURBINE STEAM FLOW LOW RETURN,1,0.2
IP_STEAM_FLOW_LOW_LOW,ALARM,CRITICAL,IP TURBINE,FLOW_LOW_LOW,vppIPTurbineSteamFlowTH,LOW,378,388.8,t/h,IP TURBINE STEAM FLOW LOW-LOW ALARM,IP TURBINE STEAM FLOW LOW-LOW RETURN,1,0.2
LP_STEAM_FLOW_LOW,ALARM,MEDIUM,LP TURBINE,FLOW_LOW,vppLPTurbineSteamFlowTH,LOW,630,640.8,t/h,LP TURBINE STEAM FLOW LOW ALARM,LP TURBINE STEAM FLOW LOW RETURN,1,0.2
LP_STEAM_FLOW_LOW_LOW,ALARM,CRITICAL,LP TURBINE,FLOW_LOW_LOW,vppLPTurbineSteamFlowTH,LOW,424.8,435.6,t/h,LP TURBINE STEAM FLOW LOW-LOW ALARM,LP TURBINE STEAM FLOW LOW-LOW RETURN,1,0.2
