equipment_id,label_ko,system,equipment_type,command,button_label,value_type,min_value,max_value,default_value,unit,execution_layer,model_input,feedback_tag,status,notes
GRID-154KV,154 kV 외부계통,ECMS,GRID,RESTORE,계통 복구,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,GRID_AVAILABLE,GRID-154KV.AVAILABLE,CONNECTED_VPP,외부계통 복구
TR-GT,GT 주 변압기,ECMS,TRANSFORMER,OUT_OF_SERVICE,정지,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,TR_GT_AVAILABLE,TR-GT.AVAILABLE,CONNECTED_VPP,정방향과 역수전 모두 불가
TR-GT,GT 주 변압기,ECMS,TRANSFORMER,IN_SERVICE,투입,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,TR_GT_AVAILABLE,TR-GT.AVAILABLE,CONNECTED_VPP,보호 및 절연조건은 A에서 추가
TR-ST,ST 주 변압기,ECMS,TRANSFORMER,OUT_OF_SERVICE,정지,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,TR_ST_AVAILABLE,TR-ST.AVAILABLE,CONNECTED_VPP,정방향과 역수전 모두 불가
TR-ST,ST 주 변압기,ECMS,TRANSFORMER,IN_SERVICE,투입,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,TR_ST_AVAILABLE,TR-ST.AVAILABLE,CONNECTED_VPP,보호 및 절연조건은 A에서 추가
UAT-A,UAT-A,ECMS,TRANSFORMER,OUT_OF_SERVICE,정지,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,UAT_A_AVAILABLE,UAT-A.AVAILABLE,CONNECTED_VPP,UAT-A 사용 불가
UAT-A,UAT-A,ECMS,TRANSFORMER,IN_SERVICE,투입,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,UAT_A_AVAILABLE,UAT-A.AVAILABLE,CONNECTED_VPP,UAT-A 사용 가능
UAT-B,UAT-B,ECMS,TRANSFORMER,OUT_OF_SERVICE,정지,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,UAT_B_AVAILABLE,UAT-B.AVAILABLE,CONNECTED_VPP,UAT-B 사용 불가
UAT-B,UAT-B,ECMS,TRANSFORMER,IN_SERVICE,투입,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,UAT_B_AVAILABLE,UAT-B.AVAILABLE,CONNECTED_VPP,UAT-B 사용 가능
CB-IN-A,A 인커밍,ECMS,BREAKER,OPEN,OPEN,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_A_CMD,CB-IN-A.CLOSED,CONNECTED_VPP,6.9 kV BUS-A 인커밍 개방
CB-IN-A,A 인커밍,ECMS,BREAKER,CLOSE,CLOSE,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,CB_IN_A_CMD,CB-IN-A.CLOSED,CONNECTED_VPP,무전압 및 전원 조건은 A에서 추가
CB-IN-A,A 인커밍,ECMS,BREAKER,TRIP,TRIP,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_A_TRIP,CB-IN-A.CLOSED,CONNECTED_VPP,인커밍 보호 Trip 결과는 CLOSED=0
CB-IN-A,A 인커밍,ECMS,BREAKER,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_A_RESET,CB-IN-A.CLOSED,CONNECTED_VPP,Reset은 reclose가 아님
CB-IN-B,B 인커밍,ECMS,BREAKER,OPEN,OPEN,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_B_CMD,CB-IN-B.CLOSED,CONNECTED_VPP,6.9 kV BUS-B 인커밍 개방
CB-IN-B,B 인커밍,ECMS,BREAKER,CLOSE,CLOSE,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,CB_IN_B_CMD,CB-IN-B.CLOSED,CONNECTED_VPP,무전압 및 전원 조건은 A에서 추가
CB-IN-B,B 인커밍,ECMS,BREAKER,TRIP,TRIP,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_B_TRIP,CB-IN-B.CLOSED,CONNECTED_VPP,인커밍 보호 Trip 결과는 CLOSED=0
CB-IN-B,B 인커밍,ECMS,BREAKER,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_IN_B_RESET,CB-IN-B.CLOSED,CONNECTED_VPP,Reset은 reclose가 아님
CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,OPEN,OPEN,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_TIE_AB_CMD,CB-TIE-AB.CLOSED,CONNECTED_VPP,모선연락차단기 개방
CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,CLOSE,CLOSE,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,CB_TIE_AB_CMD,CB-TIE-AB.CLOSED,CONNECTED_VPP,병렬 및 무전압 조건은 A에서 추가
CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,TRIP,TRIP,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_TIE_AB_TRIP,CB-TIE-AB.CLOSED,CONNECTED_VPP,모선 보호 Trip 결과는 CLOSED=0
CB-TIE-AB,6.9 kV BUS TIE,ECMS,BREAKER,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_TIE_AB_RESET,CB-TIE-AB.CLOSED,CONNECTED_VPP,Reset은 reclose가 아님
FWP-HP,HP 급수펌프,HRSG,MOTOR,START,START,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,FWP_HP_RUN,TSP.DRUM.HP.FW_FLOW,PROVISIONAL,원본 ThermoSysPro PompeAlimHP 객체 확인
FWP-HP,HP 급수펌프,HRSG,MOTOR,STOP,STOP,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,FWP_HP_RUN,TSP.DRUM.HP.FW_FLOW,PROVISIONAL,정상 STOP은 VCB-A01 CLOSED 유지
FWP-HP,HP 급수펌프,HRSG,MOTOR,TRIP,TRIP,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,FWP_HP_TRIP,VCB-A01.CLOSED,PROVISIONAL,Trip 요청 active-high; 기존 FWP-HP 코어에서 VCB-A01 OPEN 검증; Thermo process adapter는 별도
FWP-HP,HP 급수펌프,HRSG,MOTOR,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,FWP_HP_RESET,VCB-A01.CLOSED,PROVISIONAL,Reset은 breaker reclose가 아님
FWP-IP,IP 급수펌프,HRSG,MOTOR,START,START,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,FWP_IP_RUN,TSP.DRUM.IP.FW_FLOW,PROVISIONAL,원본 ThermoSysPro PompeAlimMP 객체 확인; 명칭 정합화 예정
FWP-IP,IP 급수펌프,HRSG,MOTOR,STOP,STOP,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,FWP_IP_RUN,TSP.DRUM.IP.FW_FLOW,PROVISIONAL,정상 STOP은 VCB-B01 CLOSED 유지
FWP-IP,IP 급수펌프,HRSG,MOTOR,TRIP,TRIP,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,FWP_IP_TRIP,VCB-B01.CLOSED,PROVISIONAL,Trip 성공조건은 VCB-B01.CLOSED=0; 실제 actuator end-to-end는 아직 미검증
FWP-IP,IP 급수펌프,HRSG,MOTOR,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,FWP_IP_RESET,VCB-B01.CLOSED,PROVISIONAL,Reset은 breaker reclose가 아님
FWP-LP,LP 급수펌프,HRSG,MOTOR,START,START,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,FWP_LP_RUN,TSP.DRUM.LP.FW_FLOW,PROVISIONAL,원본 ThermoSysPro PompeAlimBP 객체 확인; 명칭 정합화 예정
FWP-LP,LP 급수펌프,HRSG,MOTOR,STOP,STOP,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,FWP_LP_RUN,TSP.DRUM.LP.FW_FLOW,PROVISIONAL,정상 STOP은 VCB-A02 CLOSED 유지
FWP-LP,LP 급수펌프,HRSG,MOTOR,TRIP,TRIP,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,FWP_LP_TRIP,VCB-A02.CLOSED,PROVISIONAL,Trip 성공조건은 VCB-A02.CLOSED=0; 실제 actuator end-to-end는 아직 미검증
FWP-LP,LP 급수펌프,HRSG,MOTOR,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,FWP_LP_RESET,VCB-A02.CLOSED,PROVISIONAL,Reset은 breaker reclose가 아님
HP-FWV,HP 급수조절밸브,HRSG,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,PROVISIONAL,개도 입력 포트 필요
HP-FWV,HP 급수조절밸브,HRSG,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,PROVISIONAL,완전 폐쇄
HP-FWV,HP 급수조절밸브,HRSG,VALVE,SET_OPENING,개도 설정,REAL,0,100,50,%,THERMO_ADAPTER_REQUIRED,HP_FWV_OPENING,TSP.DRUM.HP.LIC_OUT,PROVISIONAL,0~100 퍼센트
HP-FWV,HP 급수조절밸브,HRSG,VALVE,AUTO,AUTO,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,HP_FWV_MODE,TSP.DRUM.HP.LIC_OUT,PROVISIONAL,수위제어기 자동모드
HP-FWV,HP 급수조절밸브,HRSG,VALVE,MANUAL,MANUAL,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,HP_FWV_MODE,TSP.DRUM.HP.LIC_OUT,PROVISIONAL,수동모드
IP-FWV,IP 급수조절밸브,HRSG,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,PROVISIONAL,개도 입력 포트 필요
IP-FWV,IP 급수조절밸브,HRSG,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,PROVISIONAL,완전 폐쇄
IP-FWV,IP 급수조절밸브,HRSG,VALVE,SET_OPENING,개도 설정,REAL,0,100,50,%,THERMO_ADAPTER_REQUIRED,IP_FWV_OPENING,TSP.DRUM.IP.LIC_OUT,PROVISIONAL,0~100 퍼센트
IP-FWV,IP 급수조절밸브,HRSG,VALVE,AUTO,AUTO,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,IP_FWV_MODE,TSP.DRUM.IP.LIC_OUT,PROVISIONAL,수위제어기 자동모드
IP-FWV,IP 급수조절밸브,HRSG,VALVE,MANUAL,MANUAL,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,IP_FWV_MODE,TSP.DRUM.IP.LIC_OUT,PROVISIONAL,수동모드
LP-FWV,LP 급수조절밸브,HRSG,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,PROVISIONAL,개도 입력 포트 필요
LP-FWV,LP 급수조절밸브,HRSG,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,PROVISIONAL,완전 폐쇄
LP-FWV,LP 급수조절밸브,HRSG,VALVE,SET_OPENING,개도 설정,REAL,0,100,50,%,THERMO_ADAPTER_REQUIRED,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,PROVISIONAL,0~100 퍼센트
LP-FWV,LP 급수조절밸브,HRSG,VALVE,AUTO,AUTO,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,LP_FWV_MODE,TSP.DRUM.LP.LIC_OUT,PROVISIONAL,수위제어기 자동모드
LP-FWV,LP 급수조절밸브,HRSG,VALVE,MANUAL,MANUAL,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,LP_FWV_MODE,TSP.DRUM.LP.LIC_OUT,PROVISIONAL,수동모드
HPCV,HP 터빈 제어밸브,ST,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,PROVISIONAL,터빈 밸브 입력 포트 필요
HPCV,HP 터빈 제어밸브,ST,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,PROVISIONAL,완전 폐쇄
HPCV,HP 터빈 제어밸브,ST,VALVE,SET_OPENING,개도 설정,REAL,0,100,100,%,THERMO_ADAPTER_REQUIRED,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,PROVISIONAL,0~100 퍼센트
IPCV,IP 터빈 제어밸브,ST,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,PROVISIONAL,터빈 밸브 입력 포트 필요
IPCV,IP 터빈 제어밸브,ST,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,PROVISIONAL,완전 폐쇄
IPCV,IP 터빈 제어밸브,ST,VALVE,SET_OPENING,개도 설정,REAL,0,100,100,%,THERMO_ADAPTER_REQUIRED,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,PROVISIONAL,0~100 퍼센트
LPCV,LP 터빈 제어밸브,ST,VALVE,OPEN,OPEN,DIGITAL,,,100,%,THERMO_ADAPTER_REQUIRED,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,PROVISIONAL,터빈 밸브 입력 포트 필요
LPCV,LP 터빈 제어밸브,ST,VALVE,CLOSE,CLOSE,DIGITAL,,,0,%,THERMO_ADAPTER_REQUIRED,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,PROVISIONAL,완전 폐쇄
LPCV,LP 터빈 제어밸브,ST,VALVE,SET_OPENING,개도 설정,REAL,0,100,100,%,THERMO_ADAPTER_REQUIRED,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,PROVISIONAL,0~100 퍼센트
