tag,role,verification_status,matrix_status,source_owner,notes
TSP.DRUM.HP.PRESS,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.IP.PRESS,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.LP.PRESS,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.HP.FW_FLOW,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.IP.FW_FLOW,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.LP.FW_FLOW,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
GT.EXHAUST.TEMP.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS1,Alarm exists but no common-trip route
GT.EXHAUST.TEMP.LL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS1,Alarm exists but no common-trip route
GT.EXHAUST.FLOW.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS1,Alarm exists but no common-trip route
GT.EXHAUST.FLOW.LL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS1,Alarm exists but no common-trip route
VIBRATION,FUTURE_EXTENSION,NO_EVIDENCE,FUTURE_EXTENSION,,No Active Tag Master RAW/EVENT evidence
LUBE_OIL,FUTURE_EXTENSION,NO_EVIDENCE,FUTURE_EXTENSION,,No Active Tag Master RAW/EVENT evidence
AXIAL,FUTURE_EXTENSION,NO_EVIDENCE,FUTURE_EXTENSION,,No Active Tag Master RAW/EVENT evidence
FLAME_LOSS,FUTURE_EXTENSION,NO_EVIDENCE,FUTURE_EXTENSION,,No Active Tag Master RAW/EVENT evidence
EXHAUST_SPREAD,FUTURE_EXTENSION,NO_EVIDENCE,FUTURE_EXTENSION,,No Active Tag Master RAW/EVENT evidence
