index,logic_id,logic_type,group,logic_name,tag_id,event_tag,source_node,condition,status,verification_status,linked_tag_ids,output_nodes_or_tags
17,AL-IP-PRESS-LL,ALARM,IP Drum,IP drum pressure LL,HRSG.IP.DRUM.PRESS.LL,HRSG.IP.DRUM.PRESS.LL,vppIPDrumPressurePa,value < 2300000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumPressurePa;HRSG.IP.DRUM.PRESS.LL,HRSG.IP.DRUM.PRESS.LL
18,AL-IP-FLOW-L,ALARM,IP Steam Flow,IP turbine steam flow L,HRSG.IP.STEAM.FLOW.L,HRSG.IP.STEAM.FLOW.L,vppIPTurbineSteamFlowTH,value < 576 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPTurbineSteamFlowTH;HRSG.IP.STEAM.FLOW.L,HRSG.IP.STEAM.FLOW.L
19,AL-IP-FLOW-LL,ALARM,IP Steam Flow,IP turbine steam flow LL,HRSG.IP.STEAM.FLOW.LL,HRSG.IP.STEAM.FLOW.LL,vppIPTurbineSteamFlowTH,value < 378 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPTurbineSteamFlowTH;HRSG.IP.STEAM.FLOW.LL,HRSG.IP.STEAM.FLOW.LL
20,AL-LP-LEVEL-H,ALARM,LP Drum,LP drum level H,HRSG.LP.DRUM.LEVEL.H,HRSG.LP.DRUM.LEVEL.H,vppLPDrumLevelM,value > 1.85 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.H,HRSG.LP.DRUM.LEVEL.H
21,AL-LP-LEVEL-HH,ALARM,LP Drum,LP drum level HH,HRSG.LP.DRUM.LEVEL.HH,HRSG.LP.DRUM.LEVEL.HH,vppLPDrumLevelM,value > 1.95 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.HH,HRSG.LP.DRUM.LEVEL.HH
22,AL-LP-LEVEL-L,ALARM,LP Drum,LP drum level L,HRSG.LP.DRUM.LEVEL.L,HRSG.LP.DRUM.LEVEL.L,vppLPDrumLevelM,value < 1.65 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.L,HRSG.LP.DRUM.LEVEL.L
23,AL-LP-LEVEL-LL,ALARM,LP Drum,LP drum level LL,HRSG.LP.DRUM.LEVEL.LL,HRSG.LP.DRUM.LEVEL.LL,vppLPDrumLevelM,value < 1.55 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumLevelM;HRSG.LP.DRUM.LEVEL.LL,HRSG.LP.DRUM.LEVEL.LL
24,AL-LP-PRESS-L,ALARM,LP Drum,LP drum pressure L,HRSG.LP.DRUM.PRESS.L,HRSG.LP.DRUM.PRESS.L,vppLPDrumPressurePa,value < 500000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumPressurePa;HRSG.LP.DRUM.PRESS.L,HRSG.LP.DRUM.PRESS.L
25,AL-LP-PRESS-LL,ALARM,LP Drum,LP drum pressure LL,HRSG.LP.DRUM.PRESS.LL,HRSG.LP.DRUM.PRESS.LL,vppLPDrumPressurePa,value < 450000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumPressurePa;HRSG.LP.DRUM.PRESS.LL,HRSG.LP.DRUM.PRESS.LL
26,AL-LP-FLOW-L,ALARM,LP Steam Flow,LP turbine steam flow L,HRSG.LP.STEAM.FLOW.L,HRSG.LP.STEAM.FLOW.L,vppLPTurbineSteamFlowTH,value < 630 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPTurbineSteamFlowTH;HRSG.LP.STEAM.FLOW.L,HRSG.LP.STEAM.FLOW.L
27,AL-LP-FLOW-LL,ALARM,LP Steam Flow,LP turbine steam flow LL,HRSG.LP.STEAM.FLOW.LL,HRSG.LP.STEAM.FLOW.LL,vppLPTurbineSteamFlowTH,value < 424.8 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPTurbineSteamFlowTH;HRSG.LP.STEAM.FLOW.LL,HRSG.LP.STEAM.FLOW.LL
28,PROT-DIRECT-GT,PROTECTION_CAUSE,GT Protection,Direct GT trip cause,vppCauseDirectGTTrip,vppCauseDirectGTTrip,vppExternalTripCommandNative,command >= 0.5,ACTIVE,LIVE_OPCUA_VALIDATED,vppExternalTripCommandNative;vppCauseDirectGTTrip,vppCauseDirectGTTrip
29,PROT-DIRECT-ST,PROTECTION_CAUSE,ST Protection,Direct ST trip cause,vppCauseDirectSTTrip,vppCauseDirectSTTrip,vppExternalSTTripCommandNative,command >= 0.5,ACTIVE,LIVE_OPCUA_VALIDATED,vppExternalSTTripCommandNative;vppCauseDirectSTTrip,vppCauseDirectSTTrip
30,PROT-GT-BRK-OPEN,PROTECTION_CAUSE,GT Protection,GT breaker open while running cause,vppCauseGTBreakerOpenWhileRunning,vppCauseGTBreakerOpenWhileRunning,,52GT close command < 0.5 AND GT latch not active,ACTIVE,LIVE_OPCUA_VALIDATED,vppECMS52GTClosedCommandNative;vppGTTripLatchInternal;vppCauseGTBreakerOpenWhileRunning,vppCauseGTBreakerOpenWhileRunning
31,PROT-HP-DRUM-HH,PROTECTION_CAUSE,HP Drum Protection,HP drum HH protection cause,vppCauseHPDrumHH,vppCauseHPDrumHH,vppHPDrumHHRaw,raw HH state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumHHRaw;vppCauseHPDrumHH,vppCauseHPDrumHH
32,PROT-HP-DRUM-LL,PROTECTION_CAUSE,HP Drum Protection,HP drum LL protection cause,vppCauseHPDrumLL,vppCauseHPDrumLL,vppHPDrumLLRaw,raw LL state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumLLRaw;vppCauseHPDrumLL,vppCauseHPDrumLL
33,PROT-IP-DRUM-HH,PROTECTION_CAUSE,IP Drum Protection,IP drum HH protection cause,vppCauseIPDrumHH,vppCauseIPDrumHH,vppIPDrumHHRaw,raw HH state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumHHRaw;vppCauseIPDrumHH,vppCauseIPDrumHH
34,PROT-IP-DRUM-LL,PROTECTION_CAUSE,IP Drum Protection,IP drum LL protection cause,vppCauseIPDrumLL,vppCauseIPDrumLL,vppIPDrumLLRaw,raw LL state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumLLRaw;vppCauseIPDrumLL,vppCauseIPDrumLL
35,PROT-LP-DRUM-HH,PROTECTION_CAUSE,LP Drum Protection,LP drum HH protection cause,vppCauseLPDrumHH,vppCauseLPDrumHH,vppLPDrumHHRaw,raw HH state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumHHRaw;vppCauseLPDrumHH,vppCauseLPDrumHH
36,PROT-LP-DRUM-LL,PROTECTION_CAUSE,LP Drum Protection,LP drum LL protection cause,vppCauseLPDrumLL,vppCauseLPDrumLL,vppLPDrumLLRaw,raw LL state == 1,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPDrumLLRaw;vppCauseLPDrumLL,vppCauseLPDrumLL
37,PROT-GT-REQUEST,TRIP_REQUEST,GT Protection,GT trip request OR matrix,vppGTTripRequest,vppGTTripRequest,,OR(all inputs),ACTIVE,LIVE_OPCUA_VALIDATED,vppCauseDirectGTTrip;vppCauseGTBreakerOpenWhileRunning;vppCauseHPDrumLL;vppCauseIPDrumLL;vppCauseLPDrumLL;vppGTTripRequest,vppGTTripRequest
38,PROT-ST-REQUEST,TRIP_REQUEST,ST Protection,ST trip request common-trip matrix,vppSTTripRequest,vppSTTripRequest,,OR(all 9 causes),ACTIVE,LIVE_OPCUA_VALIDATED,vppCauseDirectGTTrip;vppCauseDirectSTTrip;vppCauseGTBreakerOpenWhileRunning;vppCauseHPDrumHH;vppCauseIPDrumHH;vppCauseLPDrumHH;vppCauseHPDrumLL;vppCauseIPDrumLL;vppCauseLPDrumLL;vppSTTripRequest,vppSTTripRequest
39,PROT-GT-LATCH,LATCH,GT Protection,GT trip latch,vppGTTripLatch,vppGTTripLatch,,request=1 AND reset<0.5 -> latch; reset clears,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTTripRequest;vppGTTripResetNative;vppGTTripLatch,vppGTTripLatch
40,PROT-ST-LATCH,LATCH,ST Protection,ST trip latch,vppSTTripLatchPublished,vppSTTripLatchPublished,,request=1 AND reset<0.5 -> latch; reset clears,ACTIVE,LIVE_OPCUA_VALIDATED,vppSTTripRequest;vppSTTripResetNative;vppSTTripLatchPublished,vppSTTripLatchPublished
41,SEQ-52GT-TRIPCMD,BREAKER_SEQUENCE,GT Protection,52GT trip command timing,vpp52GTTripCmd,vpp52GTTripCmd,vppGTTripLatch,GT latch active,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTTripLatch;vpp52GTTripCmd,vpp52GTTripCmd
42,SEQ-52GT-OPEN,BREAKER_SEQUENCE,GT Protection,52GT breaker open timing,vpp52GTClosed,vpp52GTClosed,,GT latch active -> breaker opens,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTTripLatch;vppECMS52GTClosedCommandNative;vpp52GTClosed,vpp52GTClosed
43,SEQ-52ST-TRIPCMD,BREAKER_SEQUENCE,ST Protection,52ST trip command,vpp52STTripCmd,vpp52STTripCmd,vppSTTripLatchPublished,ST latch active,ACTIVE,LIVE_OPCUA_VALIDATED,vppSTTripLatchPublished;vpp52STTripCmd,vpp52STTripCmd
44,SEQ-52ST-OPEN,BREAKER_SEQUENCE,ST Protection,52ST breaker open timing,vpp52STClosed,vpp52STClosed,,ST latch active -> breaker opens,ACTIVE,LIVE_OPCUA_VALIDATED,vppSTTripLatchPublished;vppECMS52STClosedCommandNative;vpp52STClosed,vpp52STClosed
45,RESP-GT-POWER,PHYSICAL_RESPONSE,GT Response,GT power response after breaker open,vppGTGPowerMW,vppGTGPowerMW,vpp52GTClosed,if 52GT not closed then GT generator power = 0,ACTIVE,LIVE_OPCUA_VALIDATED,vpp52GTClosed;vppGTGPowerMW,vppGTGPowerMW
46,RESP-GT-SPEED,PHYSICAL_RESPONSE,GT Response,GT speed coastdown after breaker open,vppGTGSpeedRPM,vppGTGSpeedRPM,vpp52GTClosed,"if 52GT opens, speed decays from nominal by coastdown model",ACTIVE,LIVE_OPCUA_VALIDATED,vpp52GTClosed;vppGTGSpeedRPM,vppGTGSpeedRPM
47,CMD-FWP-HP-TRIP,COMMAND_INTERFACE,FWP HP,HP FWP trip command interface,vppHPFWPTripCommandNative,vppHPFWPTripCommandNative,vppHPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPFWPTripPushbuttonNative;vppHPFWPTripCommandNative;vppHPFWPTripLatchNative;vppVCBA01TripCommandNative,vppHPFWPTripCommandNative|vppHPFWPTripLatchNative|vppVCBA01TripCommandNative
48,CMD-FWP-HP-RESET,COMMAND_INTERFACE,FWP HP,HP FWP reset command interface,vppHPFWPTripLatchNative,vppHPFWPTripLatchNative,vppHPFWPResetPushbuttonNative,operator/test reset PB,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPFWPResetPushbuttonNative;vppHPFWPTripLatchNative,vppHPFWPTripLatchNative
49,CMD-FWP-IP-TRIP,COMMAND_INTERFACE,FWP IP,IP FWP trip command interface,vppIPFWPTripCommandNative,vppIPFWPTripCommandNative,vppIPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPFWPTripPushbuttonNative;vppIPFWPTripCommandNative;vppIPFWPTripLatchNative;vppVCBB01TripCommandNative,vppIPFWPTripCommandNative|vppIPFWPTripLatchNative|vppVCBB01TripCommandNative
50,CMD-FWP-IP-RESET,COMMAND_INTERFACE,FWP IP,IP FWP reset command interface,vppIPFWPTripLatchNative,vppIPFWPTripLatchNative,vppIPFWPResetPushbuttonNative,operator/test reset PB,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPFWPResetPushbuttonNative;vppIPFWPTripLatchNative,vppIPFWPTripLatchNative
51,CMD-FWP-LP-TRIP,COMMAND_INTERFACE,FWP LP,LP FWP trip command interface,vppLPFWPTripCommandNative,vppLPFWPTripCommandNative,vppLPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPFWPTripPushbuttonNative;vppLPFWPTripCommandNative;vppLPFWPTripLatchNative;vppVCBA02TripCommandNative,vppLPFWPTripCommandNative|vppLPFWPTripLatchNative|vppVCBA02TripCommandNative
52,CMD-FWP-LP-RESET,COMMAND_INTERFACE,FWP LP,LP FWP reset command interface,vppLPFWPTripLatchNative,vppLPFWPTripLatchNative,vppLPFWPResetPushbuttonNative,operator/test reset PB,ACTIVE,LIVE_OPCUA_VALIDATED,vppLPFWPResetPushbuttonNative;vppLPFWPTripLatchNative,vppLPFWPTripLatchNative
