canonical_tag,owner,layer,direction,opcua_browse_name,data_type,semantic_type,unit,control_point_id,role,model_binding,writable,implementation_status,description_ko
DCS.VLV.HP_STEAM_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvHPSteamDeviation,Real,Real,pu,HP_STEAM_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvHPSteamCmd-vppVlvHPSteamFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.HP_STEAM_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvHPSteamFaultActive,Boolean,Boolean,BOOL,HP_STEAM_VLV,FAULT_STATUS,vppVlvHPSteamFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.HP_STEAM_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvHPSteamCv,Real,Real,Cv,HP_STEAM_VLV,SOLVED_CV,vanne_vapeurHP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.HP_STEAM_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvHPSteamMassFlowTH,Real,Real,t/h,HP_STEAM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_vapeurHP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.HP_STEAM_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvHPSteamDPPa,Real,Real,Pa,HP_STEAM_VLV,SOLVED_PRESSURE_DROP,vanne_vapeurHP.C1.P-vanne_vapeurHP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.IP_FWCV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvIPFWCVModeAutoNative,Real,Boolean,BOOL,IP_FWCV,AUTO_MAN_SELECT,vppVlvIPFWCVModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.IP_FWCV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvIPFWCVManualCmdNative,Real,Real,pu,IP_FWCV,MANUAL_COMMAND,vppVlvIPFWCVManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.IP_FWCV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvIPFWCVFaultEnableNative,Real,Boolean,BOOL,IP_FWCV,FAULT_ENABLE,vppVlvIPFWCVFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.IP_FWCV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvIPFWCVFaultValueNative,Real,Real,pu,IP_FWCV,FAULT_FORCED_VALUE,vppVlvIPFWCVFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.IP_FWCV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVAutoCmd,Real,Real,pu,IP_FWCV,AUTOMATIC_COMMAND,regulation_Niveau_MP.SortieReelle1,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.IP_FWCV.CMD,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVCmd,Real,Real,pu,IP_FWCV,SELECTED_COMMAND,vppVlvIPFWCVCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.IP_FWCV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVFb,Real,Real,pu,IP_FWCV,APPLIED_POSITION,vanne_alimentationMP.Cv/vanne_alimentationMP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.IP_FWCV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVDeviation,Real,Real,pu,IP_FWCV,COMMAND_FEEDBACK_DEVIATION,vppVlvIPFWCVCmd-vppVlvIPFWCVFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.IP_FWCV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVFaultActive,Boolean,Boolean,BOOL,IP_FWCV,FAULT_STATUS,vppVlvIPFWCVFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.IP_FWCV.CV,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVCv,Real,Real,Cv,IP_FWCV,SOLVED_CV,vanne_alimentationMP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.IP_FWCV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVMassFlowTH,Real,Real,t/h,IP_FWCV,SOLVED_MASS_FLOW,3.6*(vanne_alimentationMP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.IP_FWCV.DP,OpenModelica,PHYSICAL,READ,vppVlvIPFWCVDPPa,Real,Real,Pa,IP_FWCV,SOLVED_PRESSURE_DROP,vanne_alimentationMP.C1.P-vanne_alimentationMP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.IP_STEAM_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvIPSteamModeAutoNative,Real,Boolean,BOOL,IP_STEAM_VLV,AUTO_MAN_SELECT,vppVlvIPSteamModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.IP_STEAM_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvIPSteamManualCmdNative,Real,Real,pu,IP_STEAM_VLV,MANUAL_COMMAND,vppVlvIPSteamManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.IP_STEAM_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvIPSteamFaultEnableNative,Real,Boolean,BOOL,IP_STEAM_VLV,FAULT_ENABLE,vppVlvIPSteamFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.IP_STEAM_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvIPSteamFaultValueNative,Real,Real,pu,IP_STEAM_VLV,FAULT_FORCED_VALUE,vppVlvIPSteamFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.IP_STEAM_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvIPSteamAutoCmd,Real,Real,pu,IP_STEAM_VLV,AUTOMATIC_COMMAND,constante_vanne_vapeurMP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.IP_STEAM_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvIPSteamCmd,Real,Real,pu,IP_STEAM_VLV,SELECTED_COMMAND,vppVlvIPSteamCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.IP_STEAM_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvIPSteamFb,Real,Real,pu,IP_STEAM_VLV,APPLIED_POSITION,vanne_vapeurMP.Cv/vanne_vapeurMP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.IP_STEAM_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvIPSteamDeviation,Real,Real,pu,IP_STEAM_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvIPSteamCmd-vppVlvIPSteamFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.IP_STEAM_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvIPSteamFaultActive,Boolean,Boolean,BOOL,IP_STEAM_VLV,FAULT_STATUS,vppVlvIPSteamFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.IP_STEAM_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvIPSteamCv,Real,Real,Cv,IP_STEAM_VLV,SOLVED_CV,vanne_vapeurMP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.IP_STEAM_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvIPSteamMassFlowTH,Real,Real,t/h,IP_STEAM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_vapeurMP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.IP_STEAM_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvIPSteamDPPa,Real,Real,Pa,IP_STEAM_VLV,SOLVED_PRESSURE_DROP,vanne_vapeurMP.C1.P-vanne_vapeurMP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.LP_STEAM_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvLPSteamModeAutoNative,Real,Boolean,BOOL,LP_STEAM_VLV,AUTO_MAN_SELECT,vppVlvLPSteamModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.LP_STEAM_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvLPSteamManualCmdNative,Real,Real,pu,LP_STEAM_VLV,MANUAL_COMMAND,vppVlvLPSteamManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.LP_STEAM_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvLPSteamFaultEnableNative,Real,Boolean,BOOL,LP_STEAM_VLV,FAULT_ENABLE,vppVlvLPSteamFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.LP_STEAM_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvLPSteamFaultValueNative,Real,Real,pu,LP_STEAM_VLV,FAULT_FORCED_VALUE,vppVlvLPSteamFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.LP_STEAM_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvLPSteamAutoCmd,Real,Real,pu,LP_STEAM_VLV,AUTOMATIC_COMMAND,regulation_Niveau_BP.SortieReelle1,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.LP_STEAM_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvLPSteamCmd,Real,Real,pu,LP_STEAM_VLV,SELECTED_COMMAND,vppVlvLPSteamCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.LP_STEAM_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvLPSteamFb,Real,Real,pu,LP_STEAM_VLV,APPLIED_POSITION,vanne_vapeurBP.Cv/vanne_vapeurBP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.LP_STEAM_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvLPSteamDeviation,Real,Real,pu,LP_STEAM_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvLPSteamCmd-vppVlvLPSteamFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.LP_STEAM_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvLPSteamFaultActive,Boolean,Boolean,BOOL,LP_STEAM_VLV,FAULT_STATUS,vppVlvLPSteamFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.LP_STEAM_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvLPSteamCv,Real,Real,Cv,LP_STEAM_VLV,SOLVED_CV,vanne_vapeurBP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.LP_STEAM_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvLPSteamMassFlowTH,Real,Real,t/h,LP_STEAM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_vapeurBP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.LP_STEAM_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvLPSteamDPPa,Real,Real,Pa,LP_STEAM_VLV,SOLVED_PRESSURE_DROP,vanne_vapeurBP.C1.P-vanne_vapeurBP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.LP_FW_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvLPFWModeAutoNative,Real,Boolean,BOOL,LP_FW_VLV,AUTO_MAN_SELECT,vppVlvLPFWModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.LP_FW_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvLPFWManualCmdNative,Real,Real,pu,LP_FW_VLV,MANUAL_COMMAND,vppVlvLPFWManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.LP_FW_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvLPFWFaultEnableNative,Real,Boolean,BOOL,LP_FW_VLV,FAULT_ENABLE,vppVlvLPFWFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.LP_FW_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvLPFWFaultValueNative,Real,Real,pu,LP_FW_VLV,FAULT_FORCED_VALUE,vppVlvLPFWFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.LP_FW_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvLPFWAutoCmd,Real,Real,pu,LP_FW_VLV,AUTOMATIC_COMMAND,constante_vanne_vapeurBP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.LP_FW_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvLPFWCmd,Real,Real,pu,LP_FW_VLV,SELECTED_COMMAND,vppVlvLPFWCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.LP_FW_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvLPFWFb,Real,Real,pu,LP_FW_VLV,APPLIED_POSITION,vanne_alimentationBP.Cv/vanne_alimentationBP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.LP_FW_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvLPFWDeviation,Real,Real,pu,LP_FW_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvLPFWCmd-vppVlvLPFWFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.LP_FW_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvLPFWFaultActive,Boolean,Boolean,BOOL,LP_FW_VLV,FAULT_STATUS,vppVlvLPFWFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.LP_FW_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvLPFWCv,Real,Real,Cv,LP_FW_VLV,SOLVED_CV,vanne_alimentationBP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.LP_FW_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvLPFWMassFlowTH,Real,Real,t/h,LP_FW_VLV,SOLVED_MASS_FLOW,3.6*(vanne_alimentationBP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.LP_FW_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvLPFWDPPa,Real,Real,Pa,LP_FW_VLV,SOLVED_PRESSURE_DROP,vanne_alimentationBP.C1.P-vanne_alimentationBP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.LP_TO_HPIP_FW_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvLPToHPIPFWModeAutoNative,Real,Boolean,BOOL,LP_TO_HPIP_FW_VLV,AUTO_MAN_SELECT,vppVlvLPToHPIPFWModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.LP_TO_HPIP_FW_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvLPToHPIPFWManualCmdNative,Real,Real,pu,LP_TO_HPIP_FW_VLV,MANUAL_COMMAND,vppVlvLPToHPIPFWManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvLPToHPIPFWFaultEnableNative,Real,Boolean,BOOL,LP_TO_HPIP_FW_VLV,FAULT_ENABLE,vppVlvLPToHPIPFWFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.LP_TO_HPIP_FW_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvLPToHPIPFWFaultValueNative,Real,Real,pu,LP_TO_HPIP_FW_VLV,FAULT_FORCED_VALUE,vppVlvLPToHPIPFWFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.LP_TO_HPIP_FW_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWAutoCmd,Real,Real,pu,LP_TO_HPIP_FW_VLV,AUTOMATIC_COMMAND,constante_ballonBP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.LP_TO_HPIP_FW_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWCmd,Real,Real,pu,LP_TO_HPIP_FW_VLV,SELECTED_COMMAND,vppVlvLPToHPIPFWCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.LP_TO_HPIP_FW_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWFb,Real,Real,pu,LP_TO_HPIP_FW_VLV,APPLIED_POSITION,Vanne_alimentationMPHP.Cv/Vanne_alimentationMPHP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.LP_TO_HPIP_FW_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWDeviation,Real,Real,pu,LP_TO_HPIP_FW_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvLPToHPIPFWCmd-vppVlvLPToHPIPFWFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.LP_TO_HPIP_FW_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWFaultActive,Boolean,Boolean,BOOL,LP_TO_HPIP_FW_VLV,FAULT_STATUS,vppVlvLPToHPIPFWFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.LP_TO_HPIP_FW_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWCv,Real,Real,Cv,LP_TO_HPIP_FW_VLV,SOLVED_CV,Vanne_alimentationMPHP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.LP_TO_HPIP_FW_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWMassFlowTH,Real,Real,t/h,LP_TO_HPIP_FW_VLV,SOLVED_MASS_FLOW,3.6*(Vanne_alimentationMPHP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.LP_TO_HPIP_FW_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvLPToHPIPFWDPPa,Real,Real,Pa,LP_TO_HPIP_FW_VLV,SOLVED_PRESSURE_DROP,Vanne_alimentationMPHP.C1.P-Vanne_alimentationMPHP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.COND_EXTRACTION_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvCondExtractionModeAutoNative,Real,Boolean,BOOL,COND_EXTRACTION_VLV,AUTO_MAN_SELECT,vppVlvCondExtractionModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.COND_EXTRACTION_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvCondExtractionManualCmdNative,Real,Real,pu,COND_EXTRACTION_VLV,MANUAL_COMMAND,vppVlvCondExtractionManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.COND_EXTRACTION_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvCondExtractionFaultEnableNative,Real,Boolean,BOOL,COND_EXTRACTION_VLV,FAULT_ENABLE,vppVlvCondExtractionFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.COND_EXTRACTION_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvCondExtractionFaultValueNative,Real,Real,pu,COND_EXTRACTION_VLV,FAULT_FORCED_VALUE,vppVlvCondExtractionFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
