rule_id,block_id,block_type,condition_or_label,delay,reset_hysteresis,validation_status,output_class
AL-IP-FLOW-L,condition:AL-IP-FLOW-L,CONDITION,value < 576 t/h,,,,
AL-IP-FLOW-L,operation:AL-IP-FLOW-L,OPERATION,"IP turbine steam flow L
ALARM",,,,
AL-IP-FLOW-L,additional:AL-IP-FLOW-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-IP-FLOW-LL,condition:AL-IP-FLOW-LL,CONDITION,value < 378 t/h,,,,
AL-IP-FLOW-LL,operation:AL-IP-FLOW-LL,OPERATION,"IP turbine steam flow LL
ALARM",,,,
AL-IP-FLOW-LL,additional:AL-IP-FLOW-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-IP-LEVEL-H,condition:AL-IP-LEVEL-H,CONDITION,value > 1.15 m,,,,
AL-IP-LEVEL-H,operation:AL-IP-LEVEL-H,OPERATION,"IP drum level H
ALARM",,,,
AL-IP-LEVEL-H,additional:AL-IP-LEVEL-H,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-IP-LEVEL-HH,condition:AL-IP-LEVEL-HH,CONDITION,value > 1.25 m,,,,
AL-IP-LEVEL-HH,operation:AL-IP-LEVEL-HH,OPERATION,"IP drum level HH
ALARM",,,,
AL-IP-LEVEL-HH,additional:AL-IP-LEVEL-HH,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-IP-LEVEL-L,condition:AL-IP-LEVEL-L,CONDITION,value < 0.95 m,,,,
AL-IP-LEVEL-L,operation:AL-IP-LEVEL-L,OPERATION,"IP drum level L
ALARM",,,,
AL-IP-LEVEL-L,additional:AL-IP-LEVEL-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-IP-LEVEL-LL,condition:AL-IP-LEVEL-LL,CONDITION,value < 0.85 m,,,,
AL-IP-LEVEL-LL,operation:AL-IP-LEVEL-LL,OPERATION,"IP drum level LL
ALARM",,,,
AL-IP-LEVEL-LL,additional:AL-IP-LEVEL-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-IP-PRESS-L,condition:AL-IP-PRESS-L,CONDITION,value < 2550000 Pa,,,,
AL-IP-PRESS-L,operation:AL-IP-PRESS-L,OPERATION,"IP drum pressure L
ALARM",,,,
AL-IP-PRESS-L,additional:AL-IP-PRESS-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,50000 Pa,PARTIAL,DERIVED_ALARM
AL-IP-PRESS-LL,condition:AL-IP-PRESS-LL,CONDITION,value < 2300000 Pa,,,,
AL-IP-PRESS-LL,operation:AL-IP-PRESS-LL,OPERATION,"IP drum pressure LL
ALARM",,,,
AL-IP-PRESS-LL,additional:AL-IP-PRESS-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,50000 Pa,PARTIAL,DERIVED_ALARM
AL-LP-FLOW-L,condition:AL-LP-FLOW-L,CONDITION,value < 630 t/h,,,,
AL-LP-FLOW-L,operation:AL-LP-FLOW-L,OPERATION,"LP turbine steam flow L
ALARM",,,,
AL-LP-FLOW-L,additional:AL-LP-FLOW-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-LP-FLOW-LL,condition:AL-LP-FLOW-LL,CONDITION,value < 424.8 t/h,,,,
AL-LP-FLOW-LL,operation:AL-LP-FLOW-LL,OPERATION,"LP turbine steam flow LL
ALARM",,,,
AL-LP-FLOW-LL,additional:AL-LP-FLOW-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-LP-LEVEL-H,condition:AL-LP-LEVEL-H,CONDITION,value > 1.85 m,,,,
AL-LP-LEVEL-H,operation:AL-LP-LEVEL-H,OPERATION,"LP drum level H
ALARM",,,,
AL-LP-LEVEL-H,additional:AL-LP-LEVEL-H,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-LP-LEVEL-HH,condition:AL-LP-LEVEL-HH,CONDITION,value > 1.95 m,,,,
AL-LP-LEVEL-HH,operation:AL-LP-LEVEL-HH,OPERATION,"LP drum level HH
ALARM",,,,
AL-LP-LEVEL-HH,additional:AL-LP-LEVEL-HH,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-LP-LEVEL-L,condition:AL-LP-LEVEL-L,CONDITION,value < 1.65 m,,,,
AL-LP-LEVEL-L,operation:AL-LP-LEVEL-L,OPERATION,"LP drum level L
ALARM",,,,
AL-LP-LEVEL-L,additional:AL-LP-LEVEL-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-LP-LEVEL-LL,condition:AL-LP-LEVEL-LL,CONDITION,value < 1.55 m,,,,
AL-LP-LEVEL-LL,operation:AL-LP-LEVEL-LL,OPERATION,"LP drum level LL
ALARM",,,,
AL-LP-LEVEL-LL,additional:AL-LP-LEVEL-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-LP-PRESS-L,condition:AL-LP-PRESS-L,CONDITION,value < 500000 Pa,,,,
AL-LP-PRESS-L,operation:AL-LP-PRESS-L,OPERATION,"LP drum pressure L
ALARM",,,,
AL-LP-PRESS-L,additional:AL-LP-PRESS-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,10000 Pa,PARTIAL,DERIVED_ALARM
AL-LP-PRESS-LL,condition:AL-LP-PRESS-LL,CONDITION,value < 450000 Pa,,,,
AL-LP-PRESS-LL,operation:AL-LP-PRESS-LL,OPERATION,"LP drum pressure LL
ALARM",,,,
AL-LP-PRESS-LL,additional:AL-LP-PRESS-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,10000 Pa,PARTIAL,DERIVED_ALARM
CMD-FWP-HP-RESET,condition:CMD-FWP-HP-RESET,CONDITION,operator/test reset PB,,,,
CMD-FWP-HP-RESET,operation:CMD-FWP-HP-RESET,OPERATION,"HP FWP reset command interface
COMMAND_INTERFACE",,,,
CMD-FWP-HP-RESET,additional:CMD-FWP-HP-RESET,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,-,PARTIAL,RAW_NODE
CMD-FWP-HP-TRIP,condition:CMD-FWP-HP-TRIP,CONDITION,operator/test PB writes trip command through runtime interface,,,,
CMD-FWP-HP-TRIP,operation:CMD-FWP-HP-TRIP,OPERATION,"HP FWP trip command interface
COMMAND_INTERFACE",,,,
CMD-FWP-HP-TRIP,additional:CMD-FWP-HP-TRIP,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,reset PB,PARTIAL,RAW_NODE
CMD-FWP-IP-RESET,condition:CMD-FWP-IP-RESET,CONDITION,operator/test reset PB,,,,
CMD-FWP-IP-RESET,operation:CMD-FWP-IP-RESET,OPERATION,"IP FWP reset command interface
COMMAND_INTERFACE",,,,
CMD-FWP-IP-RESET,additional:CMD-FWP-IP-RESET,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,-,PARTIAL,RAW_NODE
CMD-FWP-IP-TRIP,condition:CMD-FWP-IP-TRIP,CONDITION,operator/test PB writes trip command through runtime interface,,,,
CMD-FWP-IP-TRIP,operation:CMD-FWP-IP-TRIP,OPERATION,"IP FWP trip command interface
COMMAND_INTERFACE",,,,
CMD-FWP-IP-TRIP,additional:CMD-FWP-IP-TRIP,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,reset PB,PARTIAL,RAW_NODE
CMD-FWP-LP-RESET,condition:CMD-FWP-LP-RESET,CONDITION,operator/test reset PB,,,,
CMD-FWP-LP-RESET,operation:CMD-FWP-LP-RESET,OPERATION,"LP FWP reset command interface
COMMAND_INTERFACE",,,,
CMD-FWP-LP-RESET,additional:CMD-FWP-LP-RESET,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,-,PARTIAL,RAW_NODE
CMD-FWP-LP-TRIP,condition:CMD-FWP-LP-TRIP,CONDITION,operator/test PB writes trip command through runtime interface,,,,
CMD-FWP-LP-TRIP,operation:CMD-FWP-LP-TRIP,OPERATION,"LP FWP trip command interface
COMMAND_INTERFACE",,,,
CMD-FWP-LP-TRIP,additional:CMD-FWP-LP-TRIP,ADDITIONAL_INFO,ADDITIONAL INFO,external runtime interface,reset PB,PARTIAL,RAW_NODE
PROT-DIRECT-GT,condition:PROT-DIRECT-GT,CONDITION,command >= 0.5,,,,
PROT-DIRECT-GT,operation:PROT-DIRECT-GT,OPERATION,"Direct GT trip cause
PROTECTION_CAUSE",,,,
PROT-DIRECT-GT,additional:PROT-DIRECT-GT,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,reset by GT reset,PASS,RAW_NODE
PROT-DIRECT-ST,condition:PROT-DIRECT-ST,CONDITION,command >= 0.5,,,,
PROT-DIRECT-ST,operation:PROT-DIRECT-ST,OPERATION,"Direct ST trip cause
PROTECTION_CAUSE",,,,
PROT-DIRECT-ST,additional:PROT-DIRECT-ST,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,reset by ST reset,PASS,RAW_NODE
PROT-GT-BRK-OPEN,condition:PROT-GT-BRK-OPEN,CONDITION,52GT close command < 0.5 AND GT latch not active,,,,
PROT-GT-BRK-OPEN,operation:PROT-GT-BRK-OPEN,OPERATION,"GT breaker open while running cause
PROTECTION_CAUSE",,,,
PROT-GT-BRK-OPEN,additional:PROT-GT-BRK-OPEN,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,state reset,PARTIAL,RAW_NODE
PROT-GT-LATCH,condition:PROT-GT-LATCH,CONDITION,request=1 AND reset<0.5 -> latch; reset clears,,,,
PROT-GT-LATCH,operation:PROT-GT-LATCH,OPERATION,"GT trip latch
LATCH",,,,
PROT-GT-LATCH,additional:PROT-GT-LATCH,ADDITIONAL_INFO,ADDITIONAL INFO,event-driven,reset input,PASS,RAW_NODE
PROT-GT-REQUEST,condition:PROT-GT-REQUEST,CONDITION,OR(all inputs),,,,
PROT-GT-REQUEST,operation:PROT-GT-REQUEST,OPERATION,"GT trip request OR matrix
TRIP_REQUEST",,,,
PROT-GT-REQUEST,additional:PROT-GT-REQUEST,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,GT reset,PASS,RAW_NODE
PROT-HP-DRUM-HH,condition:PROT-HP-DRUM-HH,CONDITION,raw HH state == 1,,,,
PROT-HP-DRUM-HH,operation:PROT-HP-DRUM-HH,OPERATION,"HP drum HH protection cause
PROTECTION_CAUSE",,,,
PROT-HP-DRUM-HH,additional:PROT-HP-DRUM-HH,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-HP-DRUM-LL,condition:PROT-HP-DRUM-LL,CONDITION,raw LL state == 1,,,,
PROT-HP-DRUM-LL,operation:PROT-HP-DRUM-LL,OPERATION,"HP drum LL protection cause
PROTECTION_CAUSE",,,,
PROT-HP-DRUM-LL,additional:PROT-HP-DRUM-LL,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-IP-DRUM-HH,condition:PROT-IP-DRUM-HH,CONDITION,raw HH state == 1,,,,
PROT-IP-DRUM-HH,operation:PROT-IP-DRUM-HH,OPERATION,"IP drum HH protection cause
PROTECTION_CAUSE",,,,
PROT-IP-DRUM-HH,additional:PROT-IP-DRUM-HH,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-IP-DRUM-LL,condition:PROT-IP-DRUM-LL,CONDITION,raw LL state == 1,,,,
PROT-IP-DRUM-LL,operation:PROT-IP-DRUM-LL,OPERATION,"IP drum LL protection cause
PROTECTION_CAUSE",,,,
PROT-IP-DRUM-LL,additional:PROT-IP-DRUM-LL,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-LP-DRUM-HH,condition:PROT-LP-DRUM-HH,CONDITION,raw HH state == 1,,,,
PROT-LP-DRUM-HH,operation:PROT-LP-DRUM-HH,OPERATION,"LP drum HH protection cause
PROTECTION_CAUSE",,,,
PROT-LP-DRUM-HH,additional:PROT-LP-DRUM-HH,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-LP-DRUM-LL,condition:PROT-LP-DRUM-LL,CONDITION,raw LL state == 1,,,,
PROT-LP-DRUM-LL,operation:PROT-LP-DRUM-LL,OPERATION,"LP drum LL protection cause
PROTECTION_CAUSE",,,,
PROT-LP-DRUM-LL,additional:PROT-LP-DRUM-LL,ADDITIONAL_INFO,ADDITIONAL INFO,runtime-defined,reset/return per runtime,PARTIAL,RAW_NODE
PROT-ST-LATCH,condition:PROT-ST-LATCH,CONDITION,request=1 AND reset<0.5 -> latch; reset clears,,,,
PROT-ST-LATCH,operation:PROT-ST-LATCH,OPERATION,"ST trip latch
LATCH",,,,
PROT-ST-LATCH,additional:PROT-ST-LATCH,ADDITIONAL_INFO,ADDITIONAL INFO,event-driven,reset input,PASS,RAW_NODE
PROT-ST-REQUEST,condition:PROT-ST-REQUEST,CONDITION,OR(all 9 causes),,,,
PROT-ST-REQUEST,operation:PROT-ST-REQUEST,OPERATION,"ST trip request common-trip matrix
TRIP_REQUEST",,,,
PROT-ST-REQUEST,additional:PROT-ST-REQUEST,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,ST reset,PASS,RAW_NODE
RESP-GT-POWER,condition:RESP-GT-POWER,CONDITION,if 52GT not closed then GT generator power = 0,,,,
RESP-GT-POWER,operation:RESP-GT-POWER,OPERATION,"GT power response after breaker open
PHYSICAL_RESPONSE",,,,
RESP-GT-POWER,additional:RESP-GT-POWER,ADDITIONAL_INFO,ADDITIONAL INFO,immediate model relation,-,PASS,RAW_NODE
RESP-GT-SPEED,condition:RESP-GT-SPEED,CONDITION,"if 52GT opens, speed decays from nominal by coastdown model",,,,
RESP-GT-SPEED,operation:RESP-GT-SPEED,OPERATION,"GT speed coastdown after breaker open
PHYSICAL_RESPONSE",,,,
RESP-GT-SPEED,additional:RESP-GT-SPEED,ADDITIONAL_INFO,ADDITIONAL INFO,dynamic,-,PASS,RAW_NODE
SEQ-52GT-OPEN,condition:SEQ-52GT-OPEN,CONDITION,GT latch active -> breaker opens,,,,
SEQ-52GT-OPEN,operation:SEQ-52GT-OPEN,OPERATION,"52GT breaker open timing
BREAKER_SEQUENCE",,,,
SEQ-52GT-OPEN,additional:SEQ-52GT-OPEN,ADDITIONAL_INFO,ADDITIONAL INFO,0.080 s,-,PASS,RAW_NODE
SEQ-52GT-TRIPCMD,condition:SEQ-52GT-TRIPCMD,CONDITION,GT latch active,,,,
SEQ-52GT-TRIPCMD,operation:SEQ-52GT-TRIPCMD,OPERATION,"52GT trip command timing
BREAKER_SEQUENCE",,,,
SEQ-52GT-TRIPCMD,additional:SEQ-52GT-TRIPCMD,ADDITIONAL_INFO,ADDITIONAL INFO,0.055 s,-,PASS,RAW_NODE
SEQ-52ST-OPEN,condition:SEQ-52ST-OPEN,CONDITION,ST latch active -> breaker opens,,,,
SEQ-52ST-OPEN,operation:SEQ-52ST-OPEN,OPERATION,"52ST breaker open timing
BREAKER_SEQUENCE",,,,
SEQ-52ST-OPEN,additional:SEQ-52ST-OPEN,ADDITIONAL_INFO,ADDITIONAL INFO,0.100 s,-,PASS,RAW_NODE
SEQ-52ST-TRIPCMD,condition:SEQ-52ST-TRIPCMD,CONDITION,ST latch active,,,,
SEQ-52ST-TRIPCMD,operation:SEQ-52ST-TRIPCMD,OPERATION,"52ST trip command
BREAKER_SEQUENCE",,,,
SEQ-52ST-TRIPCMD,additional:SEQ-52ST-TRIPCMD,ADDITIONAL_INFO,ADDITIONAL INFO,0 s,-,PASS,RAW_NODE
