rule_id,group,logic_name,logic_type,input_nodes,condition,delay,reset_hysteresis,output_nodes_or_tags,output_class,input_group_id,validation_status,source_basis,source_kind,source_mapped,runtime_inclusion,model_source_status,raw_session_status,raw_rows,raw_closed_samples,raw_open_samples,open_behavior_test_status
AL-IP-PRESS-LL,IP Drum,IP drum pressure LL,ALARM,vppIPDrumPressurePa,value < 2300000 Pa,0.5 s,50000 Pa,HRSG.IP.DRUM.PRESS.LL,DERIVED_ALARM,IG-007,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-FLOW-L,LP Steam Flow,LP turbine steam flow L,ALARM,vppLPTurbineSteamFlowTH,value < 630 t/h,0.2 s,10.8 t/h,HRSG.LP.STEAM.FLOW.L,DERIVED_ALARM,IG-011,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-FLOW-LL,LP Steam Flow,LP turbine steam flow LL,ALARM,vppLPTurbineSteamFlowTH,value < 424.8 t/h,0.2 s,10.8 t/h,HRSG.LP.STEAM.FLOW.LL,DERIVED_ALARM,IG-011,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-LEVEL-H,LP Drum,LP drum level H,ALARM,vppLPDrumLevelM,value > 1.85 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.H,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-LEVEL-HH,LP Drum,LP drum level HH,ALARM,vppLPDrumLevelM,value > 1.95 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-LEVEL-L,LP Drum,LP drum level L,ALARM,vppLPDrumLevelM,value < 1.65 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.L,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-LEVEL-LL,LP Drum,LP drum level LL,ALARM,vppLPDrumLevelM,value < 1.55 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-PRESS-L,LP Drum,LP drum pressure L,ALARM,vppLPDrumPressurePa,value < 500000 Pa,0.5 s,10000 Pa,HRSG.LP.DRUM.PRESS.L,DERIVED_ALARM,IG-010,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
AL-LP-PRESS-LL,LP Drum,LP drum pressure LL,ALARM,vppLPDrumPressurePa,value < 450000 Pa,0.5 s,10000 Pa,HRSG.LP.DRUM.PRESS.LL,DERIVED_ALARM,IG-010,PARTIAL,Current DCS alarm rule; RAW input node exists,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-HP-RESET,FWP HP,HP FWP reset command interface,COMMAND_INTERFACE,vppHPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,vppHPFWPTripLatchNative,RAW_NODE,IG-031,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-HP-TRIP,FWP HP,HP FWP trip command interface,COMMAND_INTERFACE,vppHPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,vppHPFWPTripCommandNative | vppHPFWPTripLatchNative | vppVCBA01TripCommandNative,RAW_NODE,IG-030,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-IP-RESET,FWP IP,IP FWP reset command interface,COMMAND_INTERFACE,vppIPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,vppIPFWPTripLatchNative,RAW_NODE,IG-033,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-IP-TRIP,FWP IP,IP FWP trip command interface,COMMAND_INTERFACE,vppIPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,vppIPFWPTripCommandNative | vppIPFWPTripLatchNative | vppVCBB01TripCommandNative,RAW_NODE,IG-032,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-LP-RESET,FWP LP,LP FWP reset command interface,COMMAND_INTERFACE,vppLPFWPResetPushbuttonNative,operator/test reset PB,external runtime interface,-,vppLPFWPTripLatchNative,RAW_NODE,IG-035,PARTIAL,Reset node exists in RAW; exact reset sequencing remains runtime-owned,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
CMD-FWP-LP-TRIP,FWP LP,LP FWP trip command interface,COMMAND_INTERFACE,vppLPFWPTripPushbuttonNative,operator/test PB writes trip command through runtime interface,external runtime interface,reset PB,vppLPFWPTripCommandNative | vppLPFWPTripLatchNative | vppVCBA02TripCommandNative,RAW_NODE,IG-034,PARTIAL,All command/latch/breaker nodes exist in RAW; exact client-side sequencing is not re-invented here,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-DIRECT-GT,GT Protection,Direct GT trip cause,PROTECTION_CAUSE,vppExternalTripCommandNative,command >= 0.5,0 s,reset by GT reset,vppCauseDirectGTTrip,RAW_NODE,IG-012,PASS,RAW node + runtime regression evidence,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-DIRECT-ST,ST Protection,Direct ST trip cause,PROTECTION_CAUSE,vppExternalSTTripCommandNative,command >= 0.5,0 s,reset by ST reset,vppCauseDirectSTTrip,RAW_NODE,IG-013,PASS,RAW node + runtime regression evidence,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-GT-BRK-OPEN,GT Protection,GT breaker open while running cause,PROTECTION_CAUSE,vppECMS52GTClosedCommandNative | vppGTTripLatchInternal,52GT close command < 0.5 AND GT latch not active,0 s,state reset,vppCauseGTBreakerOpenWhileRunning,RAW_NODE,IG-014,PARTIAL,Exact expression recovered from model compile trace,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-GT-LATCH,GT Protection,GT trip latch,LATCH,vppGTTripRequest | vppGTTripResetNative,request=1 AND reset<0.5 -> latch; reset clears,event-driven,reset input,vppGTTripLatch,RAW_NODE,IG-023,PASS,Runtime latch node and request/reset nodes exist,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-GT-REQUEST,GT Protection,GT trip request OR matrix,TRIP_REQUEST,vppCauseDirectGTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,OR(all inputs),0 s,GT reset,vppGTTripRequest,RAW_NODE,IG-021,PASS,Exact GT request equation recovered from model compile trace,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-HP-DRUM-HH,HP Drum Protection,HP drum HH protection cause,PROTECTION_CAUSE,vppHPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,vppCauseHPDrumHH,RAW_NODE,IG-015,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-HP-DRUM-LL,HP Drum Protection,HP drum LL protection cause,PROTECTION_CAUSE,vppHPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,vppCauseHPDrumLL,RAW_NODE,IG-016,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-IP-DRUM-HH,IP Drum Protection,IP drum HH protection cause,PROTECTION_CAUSE,vppIPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,vppCauseIPDrumHH,RAW_NODE,IG-017,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-IP-DRUM-LL,IP Drum Protection,IP drum LL protection cause,PROTECTION_CAUSE,vppIPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,vppCauseIPDrumLL,RAW_NODE,IG-018,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-LP-DRUM-HH,LP Drum Protection,LP drum HH protection cause,PROTECTION_CAUSE,vppLPDrumHHRaw,raw HH state == 1,runtime-defined,reset/return per runtime,vppCauseLPDrumHH,RAW_NODE,IG-019,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-LP-DRUM-LL,LP Drum Protection,LP drum LL protection cause,PROTECTION_CAUSE,vppLPDrumLLRaw,raw LL state == 1,runtime-defined,reset/return per runtime,vppCauseLPDrumLL,RAW_NODE,IG-020,PARTIAL,RAW comparator/cause nodes exist; exact internal debounce retained in runtime,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-ST-BRK-OPEN,ST Protection,52ST breaker open protection cause,PROTECTION_CAUSE,vppECMS52STClosedCommandNative,52ST close command < 0.5 -> breaker-open cause latch,event-driven,ST reset with active trip causes clear and 52ST command open,vppCauseSTBreakerOpenWhileRunning,RAW_NODE,IG-037,PASS,TRIPLENS_ST_BREAKER_OPEN_TRIP_V1; 2026-09-26 PlantControlV2 build 104046 runtime proof,MODEL_SOURCE_RAW_OBSERVED,Y,SEARCH_ONLY,MODEL_SOURCE_CONFIRMED,USER_RUNTIME_VERIFIED,,,,RUNTIME_VERIFIED
PROT-ST-LATCH,ST Protection,ST trip latch,LATCH,vppSTTripRequest | vppSTTripResetNative,request=1 AND reset<0.5 -> latch; reset clears,event-driven,reset input,vppSTTripLatchPublished,RAW_NODE,IG-024,PASS,Runtime latch node and request/reset nodes exist,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
PROT-ST-REQUEST,ST Protection,ST trip request,TRIP_REQUEST,vppGTTripRequest | vppCauseDirectSTTrip | vppCauseSTBreakerOpenWhileRunning | vppCauseHPDrumHH | vppCauseIPDrumHH | vppCauseLPDrumHH,OR(registered ST trip inputs),0 s,ST reset,vppSTTripRequest,RAW_NODE,IG-022,PASS,Current PlantControlV2 ST request equation; cause-count wording retired; 52ST breaker-open cause included.,LIVE_OPCUA_CENSUS,Y,LIVE_RUNTIME,,,,,,
RESP-GT-POWER,GT Response,GT power response after breaker open,PHYSICAL_RESPONSE,vpp52GTClosed,if 52GT not closed then GT generator power = 0,immediate model relation,-,vppGTGPowerMW,RAW_NODE,IG-029,PASS,Exact model equation,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
RESP-GT-SPEED,GT Response,GT speed coastdown after breaker open,PHYSICAL_RESPONSE,vpp52GTClosed,"if 52GT opens, speed decays from nominal by coastdown model",dynamic,-,vppGTGSpeedRPM,RAW_NODE,IG-029,PASS,Exact model equation,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
RESP-ST-GRID-POWER,ST Protection,ST grid power response after 52ST opens,PHYSICAL_RESPONSE,vppSTGeneratorPowerMW | vpp52STClosed,vppSTGridPowerMW = if not vpp52STClosed then 0 else vppSTGeneratorPowerMW,immediate model relation,follows 52ST closed feedback,vppSTGridPowerMW,RAW_NODE,IG-036,PASS,Model source modelica/TripLens_CombinedCycle_TripTAC_ProcessView_v36.mo lines 1136-1137 (cd454995656af9a8747efe8930d2aa0b92f98e1083acadc858eaa7959ea6d2c5); RAW RAW_SESSION_20260924_191347.csv (055f8a21b8f586feafaa6fe6705cfca05b4f1e833713991a0cac1f0e94ad6fd9).; 2026-09-26 PlantControlV2 104046 runtime proof verified 52ST OPEN -> vppSTGridPowerMW = 0 MW.,MODEL_SOURCE_RAW_OBSERVED,Y,SEARCH_ONLY,MODEL_SOURCE_CONFIRMED,USER_RUNTIME_VERIFIED,282,282,0,RUNTIME_VERIFIED
SEQ-52GT-OPEN,GT Protection,52GT breaker open timing,BREAKER_SEQUENCE,vppGTTripLatch | vppECMS52GTClosedCommandNative,GT latch active -> breaker opens,0.080 s,-,vpp52GTClosed,RAW_NODE,IG-026,PASS,vppGTBreakerOpenDelay = 0.080 s; EVENT run observed 48.44 -> 48.520005,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
SEQ-52GT-TRIPCMD,GT Protection,52GT trip command timing,BREAKER_SEQUENCE,vppGTTripLatch,GT latch active,0.055 s,-,vpp52GTTripCmd,RAW_NODE,IG-025,PASS,vppGTTripCommandDelay = 0.055 s,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
SEQ-52ST-OPEN,ST Protection,52ST breaker open timing,BREAKER_SEQUENCE,vppSTTripLatchPublished | vppECMS52STClosedCommandNative,ST latch active -> breaker opens,0.100 s,-,vpp52STClosed,RAW_NODE,IG-028,PASS,vppSTBreakerOpenDelay = 0.100 s; EVENT run observed 48.44 -> 48.540005,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
SEQ-52ST-TRIPCMD,ST Protection,52ST trip command,BREAKER_SEQUENCE,vppSTTripLatchPublished,ST latch active,0 s,-,vpp52STTripCmd,RAW_NODE,IG-027,PASS,Runtime node sequence,LIVE_OPCUA_CENSUS,N,LIVE_RUNTIME,,,,,,
